Vocabulary	Part of Speech	Pronunciation	Meaning	Synonym	Antonym	Word Family	Example	Collocation
experience	noun	/ɪkˈspɪə.ri.əns/	1. kinh nghiệm 2. trải nghiệm 3. sự từng trải	knowledge, skill, exposure	inexperience, ignorance	experience (v): trải qua experienced (adj): có kinh nghiệm inexperienced (adj): thiếu kinh nghiệm experiential (adj): mang tính trải nghiệm	- She has five years of marketing experience.	- work/practical/relevant experience - gain/build/have experience - customer/user experience
upon	preposition	/əˈpɒn/	1. trên, ở trên 2. ngay khi, vào lúc	on, immediately after, following	before, prior to	(no common family forms)	- Payment is due upon receipt of the invoice.	- upon arrival/completion/approval - act upon sth - depend upon sb/sth
enter	verb	/ˈen.tər/	1. đi vào; 2. nhập (dữ liệu); 3. tham gia	input, come in	exit, leave	entry (n): lối vào; entrance (n): sự đi vào; entrant (n): thí sinh; re-enter (v): nhập lại	Please enter your password to continue.	enter data, enter a building, enter information, enter the market
electronic	adjective	/iˌlekˈtrɒn.ɪk/	1. điện tử; 2. sử dụng thiết bị điện tử	digital, computerized	manual, paper-based	electronics (n): ngành điện tử; electronically (adv): bằng điện tử	The company sends electronic invoices by email.	electronic device, electronic payment, electronic mail, electronic data
silent	adjective	/ˈsaɪ.lənt/	1. im lặng; 2. không phát ra âm thanh	quiet, noiseless	loud, noisy	silence (n): sự im lặng; silently (adv): lặng lẽ; silencer (n): bộ giảm âm	Please keep your phones on silent during the meeting.	silent mode, remain silent, fall silent, silent agreement
mode	noun	/məʊd/	1. chế độ; 2. phương thức; 3. cách thức hoạt động	setting, method	disorder, randomness	modal (adj): thuộc chế độ; modality (n): phương thức; mode switch (n): công tắc chế độ	Switch the printer to color mode.	silent mode, flight mode, power-saving mode, default mode
ringtone	noun	/ˈrɪŋ.təʊn/	âm thanh chuông điện thoại	ring, alert tone	silence	ring (v/n): đổ chuông; ringing (n): tiếng chuông; ringback tone (n): nhạc chờ	He chose a new ringtone for his mobile phone.	download a ringtone, set a ringtone, custom ringtone, incoming call ringtone
lit screen	noun phrase	/lɪt skriːn/	1. màn hình đang bật sáng 2. màn hình chiếu sáng	illuminated display, bright monitor	dark screen, blank display	light (v): chiếu sáng light (n): ánh sáng lighting (n): hệ thống chiếu sáng unlit (adj): không sáng	The presenter read the data from a lit screen.; Passengers stared at the lit screen above the gate.	bright lit screen, look at the lit screen, adjust the lit screen, read from the lit screen
distract	verb	/dɪˈstrækt/	1. làm xao nhãng 2. làm phân tâm	divert, disturb	focus, concentrate	distraction (n): sự phân tâm distracting (adj): gây sao nhãng distracted (adj): mất tập trung	Noise from the hallway can distract the trainees.; The phone alert distracted her during the meeting.	distract someone from, easily distract, distract attention, be distracted by
attract	verb	/əˈtrækt/	1. thu hút, lôi kéo 2. hấp dẫn (khách hàng, du khách)	draw, entice	repel, deter	attraction (n): sự thu hút attractive (adj): hấp dẫn attractively (adv): một cách hấp dẫn unattractive (adj): không hấp dẫn	The new promotion is expected to attract more customers.; The museum attracts over one million visitors each year.	attract customers, attract investment, attract attention, attract tourists
perform	verb	/pərˈfɔːrm/	1. thực hiện, thi hành 2. biểu diễn 3. vận hành (máy)	carry out, execute, act	neglect, fail	performance (n): hiệu suất/buổi biểu diễn performer (n): người biểu diễn performing (adj): biểu diễn	The software can perform complex calculations quickly.; The band will perform at the company banquet.	perform a task, perform well, perform duties, perform a test
fellow	noun	/ˈfel.oʊ/	1. đồng nghiệp, đồng môn 2. thành viên cùng nhóm 3. người cùng cảnh ngộ	colleague, peer, companion	stranger, outsider	fellowship (n): tình đồng nghiệp fellow worker (n): bạn đồng nghiệp fellowships (n): trợ cấp nghiên cứu	He discussed the plan with his fellow engineers.; Fellows in the program attend weekly seminars.	fellow worker, fellow passenger, fellow student, fellow member
aisle	noun	/aɪl/	1. lối đi giữa các hàng ghế/kệ 2. lối đi trên máy bay/tàu	corridor, passage	blockage, barrier	aisle seat (n): ghế sát lối đi; aisled (adj): có lối đi; aisles (n, pl): các lối đi	Please keep the aisle clear during boarding.	aisle seat, down the aisle, clear the aisle, grocery aisle
pose	verb	/poʊz/	1. gây ra, đặt ra (vấn đề/thách thức) 2. tạo dáng chụp ảnh	present, create	resolve, answer	poser (n): người đặt câu hỏi; posing (n): tư thế; posed (adj): được đặt ra	The new policy may pose a risk to profits.	pose a risk, pose a threat, pose a question, pose for a photo
safe	adj, noun	/seɪf/	adj: an toàn; noun: két sắt	secure, protected	dangerous, risky	safety (n): sự an toàn; safely (adv): một cách an toàn; safeguard (v/n): bảo vệ/khoản bảo vệ	Passengers are safe inside the cabin.	keep safe, safe distance, safe place, fireproof safe
concern	noun, verb	/kənˈsɜːrn/	1. (n) mối lo ngại 2. (v) liên quan, làm lo lắng	worry, anxiety	ease, unconcern	concerned (adj): lo lắng; concerning (prep/adj): liên quan đến; unconcerned (adj): không lo lắng	There is growing concern about flight delays.	raise concern, express concern, major concern, concern over
fit	verb, adj, noun	/fɪt/	1. (v) vừa vặn, phù hợp 2. (adj) khỏe mạnh, vừa 3. (n) kích cỡ phù hợp	suit, match	mismatch, clash	fitting (n/adj): sự vừa vặn/phù hợp; fitted (adj): vừa khít; fitness (n): thể lực	The jacket does not fit me.	fit for, fit into, fit perfectly, a good fit
properly	adverb	/ˈprɑː.pɚ.li/	1. đúng cách 2. phù hợp 3. chính xác	correctly, appropriately	improperly, incorrectly	proper (adj): thích hợp; propriety (n): sự đúng đắn; improper (adj): không phù hợp; improperly (adv): sai cách	The machine did not work properly.	function properly, dress properly, behave properly, install properly
consider	verb	/kənˈsɪd.ər/	1. xem xét 2. cân nhắc 3. nghĩ về ai/cái gì	think about, contemplate, evaluate	ignore, disregard	consideration (n): sự cân nhắc; considerate (adj): ân cần; reconsider (v): xem xét lại; considerable (adj): đáng kể	We will consider your proposal tomorrow.	consider carefully, consider a proposal, consider doing sth, be considered for
glad	adjective	/ɡlæd/	1. vui mừng 2. hài lòng	pleased, delighted	disappointed, unhappy	gladly (adv): vui vẻ; gladness (n): sự vui mừng	I am glad to meet you in person.	be glad to, glad about, feel glad, glad news
lock	noun/verb	/lɒk/	1. (n) ổ khóa 2. (v) khóa, chốt	secure, fasten, bolt	unlock, open	lockable (adj): có thể khóa; locker (n): tủ có khóa; locking (n): sự khóa; unlock (v): mở khóa	Please lock the main door after 6 p.m.	lock the door, lock up, lock securely, combination lock
state	noun/verb	/steɪt/	1. (n) tiểu bang 2. (n) tình trạng 3. (v) trình bày 4. (v) quy định	condition, express, declare, specify	silence, withhold	statement (n): bản tuyên bố; stately (adj): trang nghiêm; restate (v): trình bày lại; interstate (adj): liên bang	Please state your name and address clearly.	current state, state clearly, state law, state agency
large	adjective	/lɑːrdʒ/	1. lớn (kích thước); 2. rộng, nhiều	big, sizable	small, tiny	largely (adv): phần lớn; enlarge (v): phóng to; enlargement (n): sự mở rộng; largeness (n): độ lớn	The company placed a large order for office chairs.	large order; large number of; on a large scale
big	adjective	/bɪɡ/	1. lớn (kích cỡ); 2. quan trọng	large, huge	small, little	bigger (adj): lớn hơn; biggest (adj): lớn nhất; biggish (adj): hơi to; big-time (adj): quy mô lớn	Our sales team closed a big deal yesterday.	big deal; big increase; big project
inspect	verb	/ɪnˈspekt/	1. kiểm tra; 2. thanh tra	examine, check	neglect, overlook	inspection (n): sự kiểm tra; inspector (n): thanh tra; inspectable (adj): có thể kiểm tra	The technician will inspect the machine this afternoon.	inspect equipment; inspect goods; inspect the site
