Vocabulary	Part of Speech	Pronunciation	Meaning	Synonym	Antonym	Word Family	Example	Collocation
available	adj	/əˈveɪ.lə.bəl/	1. có sẵn 2. rảnh để gặp	obtainable, accessible, in stock	unavailable, occupied, busy	availability (n): sự có sẵn unavailable (adj): không có sẵn avail (v): tận dụng	The product will be available next Monday.	readily available, make available, available for, available to
retail	noun	/ˈriː.teɪl/	1. việc bán lẻ 2. giá bán lẻ 3. ngành bán lẻ	merchandising, sales	wholesale, bulk	retailer (n): nhà bán lẻ retailing (n): ngành bán lẻ retail (v): bán lẻ retail-price (adj): giá bán lẻ	She works in retail on the weekends.	retail market, retail price, retail store, retail sales
dozen	noun	/ˈdʌz.ən/	một tá (12 cái)	twelve	—	dozens (n): nhiều, hàng tá	He bought a dozen eggs at the store.	a dozen of, half a dozen, dozens of
tasty	adj	/ˈteɪ.sti/	ngon miệng	delicious,flavorful	bland,tasteless	taste (n/v): nếm tastily (adv): ngon tastiness (n): sự ngon tasteless (adj): nhạt	That restaurant serves tasty noodles.	tasty meal, tasty snack, tasty dish, tasty food
free	adj	/friː/	1. miễn phí 2. rảnh rỗi	complimentary,without charge	paid,occupied	freedom (n): sự tự do freely (adv): tự do freebie (n): hàng tặng free (v): giải phóng	The hotel provides free breakfast.	free sample, free of charge, feel free, duty-free
open	adj	/ˈəʊ.pən/	1. mở cửa 2. sẵn có 3. chưa quyết định	unlocked,available	closed,shut	open (v): mở openness (n): sự cởi mở openly (adv): công khai opener (n): dụng cụ mở	The branch is open from 9 a.m. to 6 p.m.	open position, open market, open door, open account
wide	adj	/waɪd/	1. rộng 2. đa dạng	broad,extensive	narrow,limited	widen (v): mở rộng width (n): bề rộng widely (adv): rộng rãi widening (n): sự mở rộng	Our agency offers a wide variety of tours.	wide range, wide variety, wide screen, wide margin
select	verb	/sɪˈlekt/	1. chọn, lựa chọn	choose, pick	reject, discard	selection (n): sự lựa chọn selective (adj): có chọn lọc selector (n): bộ chọn	- Please select your preferred language on the screen. - The committee will select three finalists.	select candidate - select option - carefully select - select item
paint	verb	/peɪnt/	1. sơn, quét màu lên bề mặt 2. vẽ tranh	coat, color, decorate	strip, remove	painter (n): thợ sơn painting (n): bức tranh repaint (v): sơn lại paintwork (n): lớp sơn	They will paint the lobby tonight.	paint a wall, paint the ceiling, fresh coat of paint, apply paint
tile	noun	/taɪl/	1. gạch lát sàn hoặc tường 2. ngói lợp	ceramic square, slab	carpet, wood flooring	tiling (n): việc lát gạch retile (v): lát lại tiled (adj): được lát gạch	The contractor delivered the floor tiles this morning.	ceramic tile, floor tile, install tiles, tile roof
furniture	noun	/ˈfɜː.nɪ.tʃər/	1. đồ đạc (bàn ghế, tủ...) trong phòng hoặc tòa nhà	furnishings, fittings	emptiness, bare room	furnish (v): trang bị furnished (adj): có sẵn đồ đạc furnishing (n): đồ đạc refurnish (v): trang bị lại	The new office furniture arrived yesterday.	office furniture, piece of furniture, furniture store, arrange furniture
curtain	noun	/ˈkɜː.tən/	1. rèm cửa 2. màn sân khấu	drape, blind	exposure, openness	curtained (adj): có rèm curtaining (n): vải rèm	Please close the curtains before the meeting starts.	draw the curtains, curtain rod, heavy curtains, open/close the curtains
responsibility	noun	/rɪˌspɒn.səˈbɪl.ə.ti/	1. trách nhiệm đối với việc gì; 2. nhiệm vụ, công việc phải làm; 3. sự chịu trách nhiệm pháp lý	duty, obligation, accountability	irresponsibility, negligence, exemption	responsible (adj): có trách nhiệm; responsibly (adv): một cách có trách nhiệm; irresponsible (adj): vô trách nhiệm	You have responsibility for the sales report.; The supervisor took full responsibility for the delay.	take/assume responsibility; have responsibility for; bear responsibility; share responsibility
ensure	verb	/ɪnˈʃʊər/	1. bảo đảm, chắc chắn; 2. giữ gìn an toàn; 3. bảo vệ quyền lợi	guarantee, make sure, secure	endanger, jeopardize, neglect	ensured (adj): được bảo đảm; ensuring (adj): đang bảo đảm; assurance (n): sự cam đoan	Please ensure the doors are locked.; The checklist ensures consistent quality.	ensure that; ensure safety; ensure quality; procedures to ensure
update	verb	/ʌpˈdeɪt/	1. cập nhật thông tin; 2. làm mới, hiện đại hoá; 3. thông báo mới nhất	upgrade, refresh, modernize	downgrade, ignore, outdate	update (n): bản cập nhật; updated (adj): được cập nhật; updating (n): sự cập nhật	We will update the software tonight.; The manager updated us on the schedule.	update the file; receive an update; latest update; regular updates
wise	adj	/waɪz/	1. khôn ngoan, sáng suốt; 2. giàu kinh nghiệm	prudent, sensible, sagacious	foolish, reckless, imprudent	wisely (adv): một cách khôn ngoan; wisdom (n): sự khôn ngoan; unwise (adj): không khôn ngoan	It is wise to save part of your income.; She made a wise decision.	wise decision; wise choice; a wise investment; prove wise
dress code	noun	/ˈdres ˌkoʊd/	1. quy định trang phục tại nơi làm việc hoặc sự kiện; 2. chuẩn mực ăn mặc yêu cầu	clothing rule, attire guideline	casual wear, no restrictions	dress (v): mặc; dressed (adj): ăn mặc; dressing (n): cách ăn mặc	The company has a strict dress code.; Employees must follow the dress code at all times.	strict dress code; formal dress code; business dress code; comply with the dress code
expect	verb	/ɪkˈspekt/	1. mong đợi, trông chờ 2. dự kiến, cho rằng điều gì sẽ xảy ra	anticipate, await	doubt, question	expectation (n): sự mong đợi; expected (adj): được mong đợi; unexpected (adj): không ngờ; expectancy (n): kỳ vọng	- We expect delivery by Friday. - The manager expects the team to meet the deadline.	expect to do sth - expect sth from sb - be expected to - as expected
employee	noun	/ɪmˈplɔɪ.iː/	1. nhân viên, người lao động	staff member, worker	employer, manager	employ (v): tuyển dụng; employment (n): việc làm; employer (n): nhà tuyển dụng; unemployment (n): thất nghiệp	- The company has 300 employees. - Each employee must wear an ID badge.	full-time employee - part-time employee - hire/lay off employees - employee benefits
enthusiasm	noun	/ɪnˈθuː.zi.æzəm/	1. sự nhiệt tình, hăng hái 2. điều yêu thích đặc biệt	eagerness, passion	apathy, indifference	enthusiastic (adj): nhiệt tình; enthusiastically (adv): một cách nhiệt tình; enthusiast (n): người say mê; unenthusiastic (adj): không nhiệt tình	- Her enthusiasm impressed the interviewers. - The staff showed great enthusiasm for the new project.	show/display enthusiasm - enthusiasm for - regain/lose enthusiasm - with enthusiasm
wheel alignment	noun	/ˈwiːl əˌlaɪn.mənt/	1. sự căn chỉnh bánh xe để chúng song song và đúng góc	wheel adjustment, tire alignment	wheel misalignment, imbalance	align (v): căn chỉnh; aligner (n): thiết bị căn chỉnh; aligned (adj): đã được căn chỉnh; misalignment (n): sự lệch	- The rental car needs a wheel alignment. - Regular wheel alignment extends tire life.	check wheel alignment - perform wheel alignment - wheel alignment service - proper wheel alignment
brake system	noun	/breɪk ˈsɪstəm/	1. hệ thống phanh của xe cộ	braking system, brakes	accelerator system, propulsion system	brake (n/v): phanh; braking (n): sự phanh; brakeman (n): người điều khiển phanh; brakeable (adj): có thể phanh	- The mechanic inspected the brake system. - A faulty brake system can cause accidents.	inspect the brake system - brake system failure - upgrade the brake system - hydraulic brake system
inspect	verb	/ɪnˈspekt/	1. kiểm tra; 2. thanh tra	examine, check	neglect, overlook	inspection (n): sự kiểm tra; inspector (n): thanh tra; inspectable (adj): có thể kiểm tra	The technician will inspect the machine this afternoon.	inspect equipment; inspect goods; inspect the site
regist	verb	/ˈredʒ.ɪ.stər/	1. đăng ký 2. ghi nhận	enroll, record	deregister, delete	registration (n): sự đăng ký; register (n): sổ đăng ký; registrar (n): người quản lý đăng ký; registered (adj): đã đăng ký	You must register for the conference by Friday.	register for a course; register online; register a complaint; register with an agency
growth	noun	/ɡroʊθ/	1. sự tăng trưởng 2. sự phát triển	increase, expansion	decline, decrease	grow (v): phát triển; growing (adj): đang phát triển; grown (adj): trưởng thành	The report shows steady growth in sales.	economic growth; sales growth; growth rate; growth strategy
