Vocabulary	Part of Speech	Pronunciation	Meaning	Synonym	Antonym	Word Family	Example	Collocation
overtighten	verb	/ˌoʊ.vərˈtaɪ.tən/	siết quá chặt (ốc, vít)	overtension, tighten excessively	loosen, slacken	tighten (v): siết chặt | tight (adj): chặt | tightening (n): sự siết chặt | overtightened (adj): bị siết quá mức	Do not overtighten the bolts when installing the shelf.	overtighten a screw, overtighten a bolt, overtighten the lid, avoid overtightening
bolt	noun	/boʊlt/	1. bu lông, ốc vít 2. then cửa, chốt	fastener, pin, screw	loosen, unfasten	bolt (v): cài then, gắn bu lông | bolted (adj): được gắn bu lông | bolting (n): sự gắn bu lông	Insert the bolt and tighten it with a wrench.	tighten a bolt, loosen a bolt, bolt and nut, secure with a bolt
cushioning	noun	/ˈkʊʃ.ən.ɪŋ/	1. lớp đệm giảm chấn 2. hành động đệm để bảo vệ	padding, buffer, protection	impact, pressure	cushion (n): gối đệm | cushion (v): đệm, giảm chấn | cushioned (adj): có đệm | cushiony (adj): mềm	The cushioning inside the package prevents damage in transit.	foam cushioning, provide cushioning, extra cushioning, cushioning material
obtain	verb	/əbˈteɪn/	1. thu được 2. đạt được	get, acquire, secure	lose, forfeit	obtainable (adj): có thể đạt được | obtainment (n): sự đạt được | unobtainable (adj): không thể đạt được	You must obtain management approval before placing the order.	obtain permission, obtain approval, obtain information, obtain a license
maintenance	noun	/ˈmeɪn.tən.əns/	1. hoạt động bảo trì, sửa chữa định kỳ 2. chi phí duy trì vận hành	upkeep, servicing	neglect, disrepair	maintain (v): bảo trì maintainer (n): người bảo trì maintenance-free (adj): không cần bảo trì	The elevator is shut down for routine maintenance.	routine maintenance; preventive maintenance; maintenance cost; maintenance crew
tip	noun	/tɪp/	1. tiền boa 2. mẹo, lời khuyên ngắn	gratuity, hint	penalty, misinformation	tip (v): boa tiền tipper (n): người boa untipped (adj): không được boa	Here is a useful tip for saving paper.	leave a tip; helpful tip; tipping policy; practical tip
coverage	noun	/ˈkʌv.ər.ɪdʒ/	việc đưa tin, phạm vi bảo hiểm, sự bao phủ	reporting, insurance, protection	ignorance, omission	cover (v): bao phủ; covered (adj): được bao phủ	The TV coverage of the event was excellent.	media coverage, insurance coverage, coverage area
discuss	verb	/dɪˈskʌs/	1. thảo luận, bàn luận	talk about, debate	ignore, avoid	discussion (n): cuộc thảo luận discussant (n): người thảo luận discussed (adj): đã bàn	The managers will discuss the new schedule tomorrow.	discuss a matter; discuss plans; discuss with sb; further discuss
household appliance	noun	/ˈhaʊs.həʊld əˈplaɪ.əns/	thiết bị gia dụng	domestic device, home appliance	industrial equipment, machinery	household (n,adj): hộ gia đình appliance (n): thiết bị applicable (adj): có thể áp dụng	The warranty covers most major household appliances.	major household appliance; small household appliance; buy a household appliance; household appliance store
power tool	noun	/ˈpaʊər tuːl/	1. dụng cụ điện cầm tay 2. thiết bị chạy bằng động cơ hỗ trợ xây dựng/sửa chữa	electric tool, motorized tool	hand tool	power-driven (adj): chạy bằng điện; tooling (n): bộ dụng cụ	Employees must wear gloves when operating a power tool.	operate a power tool, power tool safety, power tool manufacturer
staff	noun/verb	/stæf/	1. đội ngũ nhân viên 2. cung cấp nhân sự	employees, personnel	vacancy, unemployment	staffing (n): việc bố trí nhân sự; staffed (adj): có nhân viên; staffer (n): nhân viên	The new hotel employs over 200 staff.	full-time staff; recruit staff; staff meeting; staff turnover
quick	adj	/kwɪk/	nhanh chóng, tức thời	rapid, fast	slow	quickly (adv): nhanh chóng quickness (n): sự nhanh chóng quicken (v): tăng tốc	The manager gave a quick update before the meeting.	quick response, quick decision, quick look, quick test
reference	noun	/ˈref.ər.əns/	1. sự tham khảo 2. thư giới thiệu 3. sự nhắc đến	citation, recommendation, mention	disregard, omission	refer (v): tham khảo; referee (n): người giới thiệu; referential (adj): có liên quan; referencing (n): việc trích dẫn	Please attach two letters of reference to your application.	reference number, reference letter, for future reference, reference material
tool	noun	/tuːl/	1. công cụ, dụng cụ 2. phương tiện hỗ trợ	instrument, implement, device	obstacle, hindrance	tooling (n): bộ dụng cụ; toolkit (n): bộ công cụ; toolmaker (n): thợ làm dụng cụ; tool (v): gia công	Spreadsheet software is a useful tool for budgeting.	useful tool, software tool, hand tool, analytical tool
interoffice	adjective	/ˌɪn.təˈrɒf.ɪs/	1. nội bộ (giữa các bộ phận trong cùng công ty)	internal, in-house	external, outside	office (n): văn phòng; officer (n): nhân viên; official (adj): chính thức; officemate (n): đồng nghiệp	Please send the report via interoffice mail.	- interoffice mail - interoffice memo - interoffice envelope - interoffice communication
underlined	adjective	/ˈʌn.də.laɪnd/	1. được gạch chân 2. được nhấn mạnh	emphasized, highlighted	ignored, unmarked	underline (v): gạch chân; underlining (n): sự gạch chân; lined (adj): có kẻ dòng	Key dates are underlined in red.	- underlined text - underlined word - section underlined - be heavily underlined
suggest	verb	/səɡˈdʒest/	1. gợi ý 2. đề xuất 3. khuyên	propose, recommend	oppose, discourage	suggestion (n): sự gợi ý; suggestive (adj): gợi ý; suggester (n): người đề xuất	I suggest that we start the meeting at ten.	- suggest doing sth - suggest that + clause - strongly suggest - politely suggest
firm	noun	/fɜːrm/	1. công ty 2. doanh nghiệp	company, enterprise	client, customer	firm (adj): chắc chắn; firmly (adv): chắc chắn; firmness (n): sự kiên quyết	The law firm moved to a larger office downtown.	- accounting firm - law firm - firm policy - medium-sized firm
zone	noun	/zoʊn/	1. khu vực 2. vùng quy hoạch	area, region	whole, entirety	zonal (adj): thuộc vùng; zoning (n): quy hoạch; rezone (v): phân khu lại	The warehouse is located in the industrial zone.	- industrial zone - danger zone - parking zone - quiet zone
administrative	adj	/ədˈmɪn.ɪ.strə.tɪv/	1. thuộc về hành chính 2. liên quan đến quản trị tổ chức	managerial, executive	operational, technical	administration (n): sự quản trị administrator (n): người quản trị administer (v): quản lý administratively (adv): về mặt hành chính	- She handles all administrative tasks in the office. - The administrative staff will process your request.	administrative work, administrative staff, administrative costs, administrative procedures
indicate	verb	/ˈɪn.dɪ.keɪt/	1. chỉ ra, biểu thị 2. cho biết, ra hiệu	show, point out, signal	conceal, hide	indication (n): dấu hiệu indicator (n): chỉ số indicative (adj): cho thấy indicatively (adv): một cách biểu thị	- Figures indicate a rise in sales. - The light indicates that the machine is on.	indicate that, clearly indicate, indicate an increase, indicate willingness
add	verb	/æd/	1. thêm vào 2. cộng vào 3. nói thêm	include, attach, increase	remove, subtract	addition (n): sự thêm vào additional (adj): bổ sung additionally (adv): thêm vào đó	- Please add your signature at the bottom. - We will add 10% to the total cost.	add to, add up, add value, add information
