Vocabulary	Part of Speech	Pronunciation	Meaning	Synonym	Antonym	Word Family	Example	Collocation
stop	verb/noun	/stɒp/	1. (v) dừng lại 2. (n) điểm dừng 3. (v) ngăn chặn	halt, cease, end	continue, proceed, start	nonstop (adj/adv): liên tục; stoppage (n): sự đình chỉ; stopper (n): nút chặn; unstoppable (adj): không thể dừng	Please stop the machine before cleaning.	stop by, stop at, stop doing something, stop for
tourism	noun	/ˈtʊə.rɪ.zəm/	1. ngành du lịch 2. hoạt động du lịch	travel, sightseeing, holidaymaking	residency, immobility	tourist (n): khách du lịch; tour (n/v): chuyến du lịch; touristic (adj): thuộc du lịch; tour operator (n): công ty lữ hành	Tourism accounts for 10% of local income.	tourism industry, boost tourism, mass tourism, sustainable tourism
destination	noun	/ˌdes.tɪˈneɪ.ʃən/	1. điểm đến (của chuyến đi, vận chuyển)	endpoint, goal	origin, departure point	destined (adj): được định trước destinational (adj): thuộc về điểm đến	The flight arrived on time at its final destination.	final destination; popular destination; reach/arrive at destination
reason	noun	/ˈriː.zən/	1. lý do, nguyên nhân	cause, motive	result, consequence	reasonable (adj): hợp lý reasonably (adv): một cách hợp lý reasoning (n): lập luận	The main reason for the refund is a damaged item.	reason for; give/provide a reason; main/primary reason; for this/that reason
service	noun	/ˈsɜː.vɪs/	1. dịch vụ 2. sự phục vụ 3. việc bảo trì	assistance, support	neglect, malfunction	serve (v): phục vụ server (n): máy chủ servicing (n): bảo dưỡng serviceable (adj): có thể dùng	The company provides excellent customer service.	customer service; provide/deliver service; in/out of service; service charge
expiration date	noun	/ˌek.spəˈreɪ.ʃən deɪt/	1. ngày hết hạn (thực phẩm, thẻ, hợp đồng)	expiry date, due date	start date, issue date	expire (v): hết hạn expired (adj): đã hết hạn expiring (adj): sắp hết hạn	Please note the expiration date on your credit card.	check/verify expiration date; expiration date of/on; past the expiration date; expiration date label
approach	noun/verb	/əˈprəʊtʃ/	(n) 1. phương pháp 2. sự tiếp cận (v) 3. tiếp cận	method, strategy	departure, avoidance	approachable (adj): dễ gần approaching (adj): đang đến gần approached (vpp): đã tiếp cận	Our team adopted a new approach to marketing.	new/innovative approach; approach to; take/adopt an approach; customer-oriented approach
advise	verb	/ədˈvaɪz/	1. khuyên; tư vấn 2. thông báo chính thức	consult, recommend	discourage, misguide	advice (n): lời khuyên adviser/advisor (n): cố vấn advisory (adj): tư vấn	The consultant advised the client to reduce costs.	advise sb to do sth, advise on sth, strongly advise, advise against sth
intend	verb	/ɪnˈtend/	1. dự định 2. dành cho (for)	plan, aim	cancel, forget	intention (n): ý định intentional (adj): có chủ đích intentionally (adv): cố ý	The company intends to open a new office next year.	intend to do sth, intend for sb/sth, fully intend, originally intend
branch	noun	/bræntʃ/	1. chi nhánh 2. ngành, bộ phận	division, subsidiary	headquarters, main office	branch (v): rẽ nhánh branching (n): sự phân nhánh	The Seoul branch achieved the highest sales.	branch office, local branch, open a branch, branch manager
location	noun	/loʊˈkeɪ.ʃən/	1. vị trí, địa điểm 2. quá trình xác định vị trí	site, place	displacement, misplacement	locate (v): định vị located (adj): nằm ở relocation (n): sự di chuyển địa điểm locator (n): thiết bị định vị	The conference will be held at a central location.	convenient location, remote location, office location, location search
decide	verb	/dɪˈsaɪd/	1. quyết định 2. giải quyết	choose, determine	hesitate, waver	decision (n): quyết định decisive (adj): dứt khoát decisively (adv): một cách dứt khoát indecisive (adj): thiếu quyết đoán	The board will decide on the budget tomorrow.	decide on/upon sth, decide to do sth, quickly decide, final decision
action	noun	/ˈæk.ʃən/	1. hành động cụ thể để đạt mục tiêu 2. quá trình kiện tụng 3. cảnh hành động	act, measure, deed	inaction, idleness	act (v): hành động; active (adj): năng động; activate (v): kích hoạt; actionable (adj): có thể khởi kiện	Management will take immediate action to reduce costs.	take action; course of action; legal action; action plan
necessary	adj	/ˈnes.ə.ser.i/	1. cần thiết, thiết yếu 2. bắt buộc theo quy định	essential, required	unnecessary, optional	necessity (n): sự cần thiết; necessarily (adv): nhất thiết; necessitate (v): đòi hỏi; unnecessary (adj): không cần thiết	It is necessary to wear a badge in the building.	if necessary; deem necessary; necessary for; make it necessary
failure	noun	/ˈfeɪ.ljər/	1. sự thất bại 2. sự cố hỏng hóc (máy móc) 3. việc không thực hiện điều gì	fail, breakdown, collapse	success, accomplishment	fail (v): thất bại; failing (n/adj): thiếu sót; failed (adj): không thành; successful (adj): thành công	The project ended in failure due to poor planning.	equipment failure; business failure; failure to comply; complete failure
result	noun	/rɪˈzʌlt/	1. kết quả 2. thành quả thi cử/tính toán 3. hậu quả	outcome, consequence, effect	cause, origin	result (v): dẫn đến; resulting (adj): do đó; resultant (adj): là kết quả	The marketing campaign produced positive results.	as a result; result in; result from; test results
libraby	noun	/ˈlaɪ.brer.i/	1. thư viện 2. bộ sưu tập sách/tài liệu 3. kho dữ liệu số	archive, collection	-	librarian (n): thủ thư; library science (n): khoa học thư viện; library system (n): hệ thống thư viện	The company library is open from 9 a.m. to 6 p.m.	public library; digital library; library card; library resources
privileges	noun	/ˈprɪv.əl.ɪdʒɪz/	1. đặc quyền, ưu đãi, quyền lợi đặc biệt	benefits, advantages	restrictions, disadvantages	privilege (n/v): đặc quyền, cho đặc quyền; privileged (adj): có đặc quyền; unprivileged (adj): không có đặc quyền	Employees with five years of service receive additional privileges.	special privileges, employee privileges, access privileges, membership privileges
notice	noun/verb	/ˈnoʊ.t̬ɪs/	1. (n) thông báo, lưu ý 2. (n) thời hạn báo trước 3. (v) chú ý, nhận ra	announcement, warning; observe	ignorance, neglect	notice (v): chú ý; noticeable (adj): đáng chú ý; notification (n): sự thông báo; unnoticed (adj): không bị chú ý	We received a notice about the schedule change. Please give two weeks’ notice if you resign.	give notice, receive notice, cancellation notice, at short notice
general	adj	/ˈdʒen.ər.əl/	1. chung, tổng quát 2. phổ biến, thông thường	overall, common	specific, detailed	general (n): vị tướng/khái quát; generally (adv): nói chung; generalize (v): khái quát; generalization (n): sự khái quát	The general manager approved the budget.	general manager, in general, general information, general public
reply	verb/noun	/rɪˈplaɪ/	1. (v) trả lời, hồi đáp 2. (n) câu trả lời, phản hồi	respond, answer	ignore, question	reply (n/v): trả lời; replied (v): đã trả lời; replying (v): đang trả lời	Please reply to the email by noon.	reply to a message, quick reply, in reply, reply promptly
directly	adv	/daɪˈrekt.li/	1. trực tiếp, thẳng 2. ngay lập tức	immediately, straight	indirectly, later	direct (adj/v): trực tiếp/chỉ đạo; direction (n): phương hướng; director (n): giám đốc; directive (n): chỉ thị	You can speak directly to the supervisor.	report directly, contact directly, directly responsible, directly affected
sign up	phrasal verb	/saɪn ʌp/	đăng ký; ghi danh; đồng ý tham gia	register, enroll	withdraw, cancel	sign (v/n): ký; signup (n): sự đăng ký; signer (n): người ký	- Please sign up for the workshop by Friday.	- sign up for sth - sign up online - sign up new members
log in	phrasal verb	/lɒɡ ɪn/	đăng nhập vào hệ thống	sign in, access	log out, sign out	login (n): sự đăng nhập; logger (n): thiết bị ghi	- Employees must log in before 9 a.m.	- log in to sth - log in with sth - automatic log in
question	noun	/ˈkwes.tʃən/	1. câu hỏi 2. vấn đề cần bàn	inquiry, query	answer, solution	question (v): hỏi; questionable (adj): đáng ngờ; questionnaire (n): bảng câu hỏi	- The manager answered every question clearly.	- ask a question - raise a question - question about sth - in question
