Vocabulary	Part of Speech	Pronunciation	Meaning	Synonym	Antonym	Word Family	Example	Collocation
property	noun	/ˈprɑː.pɚ.t̬i/	1. tài sản, bất động sản 2. đặc tính, thuộc tính	asset, estate	debt, liability	proprietor (n): chủ sở hữu; proprietary (adj): độc quyền; propertyless (adj): không có tài sản	The company plans to buy new property near the airport.	real property, private property, property value, property management
spare	adj/verb/noun	/sper/	1. (adj) dự phòng, thừa 2. (verb) dành, để dành 3. (noun) vật dự phòng	extra, reserve, save	necessary, waste	sparing (adj): tiết kiệm; sparingly (adv): một cách tiết kiệm; spareness (n): sự thưa thớt	Do you have a spare battery for the camera?	spare parts, spare time, spare cash, spare capacity
effort	noun	/ˈef.ət/	1. sự nỗ lực 2. cố gắng có tổ chức 3. kết quả của một lần cố gắng	attempt, endeavor	idleness, inertia	effortless (adj): không cần nỗ lực effortfully (adv): một cách nỗ lực effortlessness (n): sự dễ dàng	The team made a great effort to finish the report. - This campaign is a joint effort of two departments.	make an effort, joint effort, in an effort to, require effort
professional - grade	adj	/prəˈfeʃ.ən.əl ɡreɪd/	1. đạt tiêu chuẩn chuyên nghiệp 2. dành cho mục đích thương mại	commercial-grade, industrial-grade	consumer-grade, amateur	professional (n): chuyên gia profession (n): nghề nghiệp professionalism (n): tính chuyên nghiệp professionally (adv): một cách chuyên nghiệp	We use professional-grade printers in the design studio. - Professional-grade materials last longer.	professional-grade equipment, professional-grade software, professional-grade tools, professional-grade materials
equipment	noun	/ɪˈkwɪp.mənt/	1. trang thiết bị 2. dụng cụ cần cho một mục đích	apparatus, gear	disassembly, removal	equip (v): trang bị equipped (adj): được trang bị equipping (n): sự trang bị	The new office equipment arrived yesterday. - Please check the equipment before use.	office equipment, safety equipment, install equipment, rent equipment
lighting	noun	/ˈlaɪ.tɪŋ/	1. hệ thống chiếu sáng 2. sự sắp đặt ánh sáng tại địa điểm	illumination, light system	darkness, gloom	light (n/v): ánh sáng, chiếu sáng lighten (v): làm sáng lit (adj): được chiếu sáng	The conference room needs better lighting. - LED lighting reduces energy costs.	natural lighting, install lighting, lighting system, lighting design
staging technique	noun	/ˈsteɪ.dʒɪŋ tekˈniːk/	1. kỹ thuật dàn dựng sân khấu 2. phương pháp bố trí trưng bày sản phẩm	presentation method, display technique	improvisation, disorder	stage (v/n): dàn dựng, sân khấu staged (adj): được dàn dựng staging (n): sự dàn dựng technician (n): kỹ thuật viên	Their staging technique made the product demo more engaging. - Good staging techniques can increase sales at trade shows.	effective staging technique, use staging techniques, staging technique for an event, improve staging technique
allow	verb	/əˈlaʊ/	1. cho phép 2. dành/để ra (thời gian, tiền)	permit, authorize	forbid, prohibit	allowance (n): tiền trợ cấp; allowed (adj): được phép; allowable (adj): có thể cho phép	The manager allows staff to work from home.	allow sb to do sth, be allowed to, allow time for sth, allow entry
highlight	verb	/ˈhaɪ.laɪt/	1. làm nổi bật 2. nêu bật	underline, emphasize	ignore, downplay	highlight (n): điểm nhấn; highlighter (n): bút đánh dấu; highlighting (n): sự nhấn mạnh	The report highlights the need for better training.	highlight key points, highlight issues, highlight differences, the highlight of
feature	noun, verb	/ˈfiː.tʃər/	1. (n) đặc điểm, tính năng 2. (v) có, bao gồm	attribute, characteristic; include, present	drawback, omit	featured (adj): được giới thiệu; featuring (prep): có; featureless (adj): không đặc điểm	The new phone's key feature is its long battery life.	new feature, key feature, special feature, feature article
photo shoot	noun	/ˈfəʊ.təʊ ʃuːt/	buổi chụp ảnh (chuyên nghiệp)	photography session, photo session	—	photograph (n/v): ảnh/chụp; photographer (n): nhiếp ảnh gia; photography (n): nhiếp ảnh	The magazine arranged a photo shoot with the singer yesterday.	schedule a photo shoot, hold a photo shoot, fashion photo shoot, outdoor photo shoot
edit	verb	/ˈedɪt/	1. chỉnh sửa 2. biên tập	revise, correct	publish, keep	editing (n): việc biên tập; editor (n): biên tập viên; edition (n): phiên bản; editable (adj): có thể chỉnh sửa	Please edit the document before the meeting.	edit a document, edit video, edit file, edit content
package	noun, verb	/ˈpæk.ɪdʒ/	1. gói hàng, bưu kiện (n) 2. đóng gói (v) 3. bộ dịch vụ trọn gói	parcel, bundle, packet	unpack, open, scatter	pack (v): đóng gói; packaging (n): bao bì; unpack (v): mở gói; packaged (adj): được đóng gói	We will ship your package within 24 hours.	ship/send a package, receive a package, package design, package tour
introduce	verb	/ˌɪn.trəˈduːs/	1. giới thiệu (ai/cái gì) 2. ra mắt, đưa vào sử dụng 3. giới thiệu bản thân	present, launch, unveil	withdraw, eliminate, remove	introduction (n): sự giới thiệu; introductory (adj): mở đầu; introducer (n): người giới thiệu; reintroduce (v): tái giới thiệu	The manager will introduce the new policy at the meeting.	introduce a product, introduce a policy, introduce someone to, allow me to introduce
stand out	phrasal verb	/stænd aʊt/	1. nổi bật 2. dễ nhận thấy 3. khác biệt (theo hướng tốt)	be noticeable, distinguish oneself, shine	blend in, fade, disappear	standout (n): người/vật nổi bật; outstanding (adj): xuất sắc; outstand (v): nổi trội	Her skills make her stand out from other applicants.	stand out from, stand out in, standout feature, make something stand out
first	adjective, adverb	/fɜːrst/	1. đầu tiên 2. quan trọng nhất 3. lần đầu	initial, primary, earliest	last, final, ultimate	firstly (adv): trước hết; first-class (adj): hạng nhất; firsthand (adj): trực tiếp; firstness (n): tính đầu tiên	Customer safety comes first.	first time, first step, first priority, come first
research	noun, verb	/rɪˈsɜːrtʃ/	1. (n) nghiên cứu 2. (v) nghiên cứu 3. khảo sát thông tin	study, investigation, inquiry	guess, assumption, speculation	researcher (n): nhà nghiên cứu; researched (adj): được nghiên cứu; researching (n): việc nghiên cứu; researchable (adj): có thể nghiên cứu	We conducted market research before launching the product.	conduct research, market research, research findings, research project
purchase	noun/verb	/ˈpɜː.tʃəs/	1. (n) sự mua hàng 2. (n) món hàng được mua 3. (v) mua	buy, acquire	sell, dispose of	purchaser (n): người mua purchasing (n): việc mua hàng repurchase (v): mua lại purchasable (adj): có thể mua được	The company will purchase new laptops next week.	purchase order; make a purchase; purchase price; purchase agreement
display	noun/verb	/dɪˈspleɪ/	1. (n) sự trưng bày 2. (v) trưng bày 3. (v) hiển thị	exhibit, show	hide, conceal	displayed (adj): được trưng bày displayer (n): thiết bị hiển thị	The new products are on display near the cashier.	window display; display case; display screen; put on display
if any	phrase	/ɪf ˈeni/	dù có hay không; nếu có (nhấn mạnh lượng nhỏ)	if at all, negligible	many, plenty	-	There were few, if any, errors in the report.	few if any; little if any; changes if any; differences if any
by comparison	phrase	/baɪ kəmˈpær.ɪ.sən/	khi so sánh, so với	in comparison, comparatively	individually, separately	compare (v): so sánh comparison (n): sự so sánh comparable (adj): tương đương comparatively (adv): tương đối	By comparison with 2022, revenue increased 15%.	by comparison with; look small by comparison; costs by comparison; numbers by comparison
otherwise	adverb/conjunction	/ˈʌð.ər.waɪz/	1. nếu không thì 2. ngoài ra 3. theo cách khác	or else, alternatively	likewise, similarly	other (adj): khác otherness (n): tính khác biệt	Please sign here; otherwise, your order cannot be processed.	unless otherwise stated; otherwise specified; prove otherwise; do otherwise
indeed	adv	/ɪnˈdiːd/	1. thật vậy, thực sự (dùng nhấn mạnh) 2. quả thật (xác nhận)	actually, truly, really	hardly, barely, not really	indeed (adv): thật vậy	The results are indeed impressive.	yes indeed, indeed impressive, indeed necessary
unpack	verb	/ʌnˈpæk/	1. mở, tháo dỡ (hành lý, hàng hoá) 2. phân tích, giải thích	unload, empty, analyse	pack, load	unpack (v); unpacked (adj); unpacking (n); pack (v,n)	She unpacked her suitcase at the hotel.	unpack luggage, unpack a suitcase, unpack boxes, time to unpack
verify	verb	/ˈver.ɪ.faɪ/	1. xác minh, kiểm chứng 2. chứng thực	validate, confirm, check	invalidate, ignore, neglect	verify (v); verification (n); verifiable (adj); verifier (n)	Please verify your account information.	verify information, verify identity, verify documents, verify accuracy
