Vocabulary	Part of Speech	Pronunciation	Meaning	Synonym	Antonym	Word Family	Example	Collocation
handle	verb	/ˈhæn.dəl/	1. xử lý, giải quyết (công việc, vấn đề) 2. cầm, nắm	manage, deal with	neglect, mishandle	handle (n): tay cầm; handling (n): việc xử lý; handler (n): người điều khiển	Our staff can handle customer complaints quickly.	handle a complaint, handle equipment, handle pressure, handle data
range	noun	/reɪndʒ/	1. phạm vi, dải 2. chủng loại hàng hoá	span, scope	limitation, restriction	range (v): dao động; ranged (adj): được sắp xếp; ranger (n): kiểm lâm	The store offers a wide range of office supplies.	a wide range, range of products, price range, within the range
issue	noun	/ˈɪʃ.uː/	1. vấn đề, mối quan ngại 2. số báo, ấn phẩm	problem, matter (nghĩa 1) edition (nghĩa 2)	solution (nghĩa 1)	issue (v): phát hành; issuer (n): nhà phát hành; issuance (n): sự phát hành	The technician fixed the issue in ten minutes.	address an issue, raise an issue, issue of concern, latest issue
miss	verb	/mɪs/	1. bỏ lỡ, không bắt kịp 2. nhớ	lose, skip (nghĩa 1) long for (nghĩa 2)	catch, attend (nghĩa 1) forget (nghĩa 2)	miss (n): cô; missing (adj): mất tích; misser (n): người bỏ lỡ	He missed the last train to the airport.	miss a flight, miss a deadline, miss an opportunity, miss someone
lost	adjective	/lɒst/	1. bị mất, thất lạc 2. lạc đường 3. thua	missing, misplaced (nghĩa 1) confused (nghĩa 2) defeated (nghĩa 3)	found, located, won	lose (v): mất; loss (n): sự mất; loser (n): người thua; losing (adj): thua	The tourist was lost in the subway station.	lost luggage, get lost, lost property, feel lost
meet	verb	/miːt/	1. gặp mặt 2. đáp ứng (yêu cầu/tiêu chuẩn)	encounter, satisfy	avoid, miss, fail	meeting (n): cuộc họp; met (v-ed): đã gặp; meetup (n): buổi gặp mặt	Our team will meet the supplier tomorrow.	meet a deadline, meet requirements, meet with clients, meet expectations
meeting note	noun	/ˈmiː.tɪŋ noʊt/	bản ghi chú cuộc họp	minutes, memo	omission, silence	meet (v): gặp; meeting (n): cuộc họp; note (n): ghi chú; notetaker (n): người ghi chép	Please review the meeting notes before Friday.	take meeting notes, distribute meeting notes, review meeting notes, detailed meeting notes
accident	noun	/ˈæk.sɪ.dənt/	1. tai nạn 2. sự cố bất ngờ	mishap, crash	intention, plan	accidental (adj): tình cờ; accidentally (adv): vô tình	Delivery of the parts was delayed by a traffic accident.	traffic accident, workplace accident, cause an accident, by accident
delete	verb	/dɪˈliːt/	xóa bỏ (dữ liệu, tập tin)	remove, erase	save, restore	deletion (n): sự xoá; deletable (adj): có thể xoá	Please delete the outdated files from the server.	delete a file, delete an email, accidentally delete, delete permanently
recreate	verb	/ˌriː.krɪˈeɪt/	tái tạo, tạo lại	reproduce, rebuild	destroy, ruin	creation (n): sự tạo ra; recreation (n): sự giải trí; creative (adj): sáng tạo	The engineer tried to recreate the problem in the lab.	recreate a scene, recreate the experience, recreate the logo, easily recreate
memory	noun	/ˈmem.ər.i/	1. trí nhớ 2. ký ức 3. bộ nhớ máy tính	recall, remembrance	forgetfulness, amnesia	memorize (v): ghi nhớ memorable (adj): đáng nhớ memorandum (n): bản ghi nhớ	She has a good memory for names.	long-term memory, computer memory, in memory of, memory capacity
current	adjective	/ˈkɜːr.ənt/	hiện tại, hiện nay	present, contemporary	old, past	currently (adv): hiện tại, hiện nay; currency (n): tiền tệ	The current manager is very experienced.	current events, current situation, current address
magazine	noun	/ˌmæɡ.əˈziːn/	tạp chí, tập san	publication, journal, periodical	—	magazine (n): tạp chí; magazine publisher (n): nhà xuất bản tạp chí	I bought a fashion magazine yesterday.	fashion magazine, weekly magazine, magazine article
predict	verb	/prɪˈdɪkt/	1. dự đoán, tiên đoán	forecast, foresee	ignore, miscalculate	prediction (n): sự dự đoán predictable (adj): có thể đoán trước unpredictability (n): tính khó đoán	The analyst predicts higher sales next quarter.	predict demand, accurately predict, predict future trends, predict growth
price	noun/verb	/praɪs/	1. (n) giá cả 2. (v) định giá	cost, charge	value, rebate	pricing (n): việc định giá priceless (adj): vô giá overpriced (adj): quá đắt	The price of the ticket is $30.	set a price, lower prices, price increase, competitive price
rise	verb / noun	/raɪz/	1. (v) tăng, lên 2. (n) sự tăng, sự gia tăng	increase, climb, grow, go up	fall, decrease, drop, decline	rising (adj): đang tăng risen (v3): đã tăng raise (v): nâng, tăng	Oil prices have risen by 5% this month.	rise sharply, rise steadily, a rise in costs, salary rise
raise	verb	/reɪz/	1. nâng lên 2. tăng (lương, giá) 3. nêu ra (vấn đề) 4. gây quỹ	increase, lift, boost	lower, reduce, drop	raise (n): sự tăng lương raised (adj): được nâng lên raiser (n): người nâng raising (n): sự nâng	The company plans to raise wages next quarter.	raise money, raise prices, raise a question, raise awareness
need	noun	/niːd/	1. nhu cầu, sự cần thiết 2. tình trạng thiếu thốn	necessity, requirement	surplus, abundance	needed (adj): cần thiết needless (adj): không cần thiết needy (adj): nghèo túng	There is a need for more staff during peak season.	meet a need; address the need; basic needs; customer needs
safe	adj, noun	/seɪf/	adj: an toàn; noun: két sắt	secure, protected	dangerous, risky	safety (n): sự an toàn; safely (adv): một cách an toàn; safeguard (v/n): bảo vệ/khoản bảo vệ	Passengers are safe inside the cabin.	keep safe, safe distance, safe place, fireproof safe
train	verb / noun	/treɪn/	1. (v) đào tạo, huấn luyện 2. (n) xe lửa, chuyến tàu	educate, instruct, coach, railway, locomotive	neglect, ignore	trainer (n): huấn luyện viên training (n): sự đào tạo trainee (n): thực tập sinh	The firm will train new employees next week.	train staff, on-the-job training, take a train, high-speed train
fire safety training	noun phrase	/faɪr ˈseɪf.ti ˈtreɪ.nɪŋ/	khóa đào tạo về an toàn phòng cháy chữa cháy	fire prevention course, fire drill instruction	fire hazard, negligence	fire safety (n): an toàn phòng cháy; fire-safe (adj): chống cháy; fireproof (adj): chịu lửa; train (v): đào tạo; trainee (n): học viên; trainer (n): huấn luyện viên	All staff must complete fire safety training this Friday.	attend fire safety training; conduct fire safety training; mandatory fire safety training; fire safety training session
emerge	verb	/ɪˈmɜːrdʒ/	1. xuất hiện 2. nổi lên 3. lộ ra	appear, arise	disappear, vanish	emergence (n): sự xuất hiện; emerging (adj): mới nổi; emergent (adj): đang nổi	A clear trend has emerged in customer feedback.	emerge as; emerge from; patterns emerge; market emerges
begin	verb	/bɪˈɡɪn/	1. bắt đầu 2. khởi đầu	start, commence	end, finish	beginning (n): sự khởi đầu; beginner (n): người mới bắt đầu	The meeting will begin promptly at 9 a.m.	begin with; begin to; begin doing; begin immediately
