Vocabulary	Part of Speech	Pronunciation	Meaning	Synonym	Antonym	Word Family	Example	Collocation
stream	noun/verb	/striːm/	1. dòng chảy, luồng (dữ liệu, người) 2. phát trực tuyến (v) 3. chảy, tuôn ra	flow, current, broadcast	trickle, halt	streaming (n): sự phát trực tuyến stream (v): phát trực tuyến streamer (n): người phát trực tuyến	The IT department will stream the conference live.	data stream, live stream, stream content, video stream
culture	noun	/ˈkʌl.tʃər/	1. văn hóa (quốc gia, doanh nghiệp) 2. môi trường nuôi cấy (khoa học)	civilization, customs, ethos	barbarism, ignorance	cultural (adj): thuộc văn hóa culturally (adv): về mặt văn hóa cultureless (adj): thiếu văn hóa	A strong safety culture reduces workplace accidents.	corporate culture, company culture, culture change, organizational culture
support	verb/noun	/səˈpɔːrt/	1. hỗ trợ, giúp đỡ 2. ủng hộ 3. cung cấp tài chính	assist, back, aid	oppose, hinder	support (n): sự hỗ trợ supporter (n): người ủng hộ supportive (adj): mang tính hỗ trợ supportively (adv): một cách hỗ trợ	The manager promised to support the sales team.	provide support, technical support, support a proposal, financial support
plan	noun/verb	/plæn/	1. kế hoạch 2. lập kế hoạch 3. dự định	scheme, program, blueprint	improvisation, chaos	planning (n): việc lập kế hoạch planner (n): người lập kế hoạch planned (adj): có kế hoạch unplanned (adj): không có kế hoạch	We plan to open a new branch in July.	make a plan, strategic plan, plan ahead, plan for
huge	adjective	/hjuːdʒ/	1. rất lớn, khổng lồ 2. cực kỳ quan trọng	enormous, massive, vast	tiny, small, minute	hugely (adv): cực kỳ hugeness (n): sự to lớn	The merger created a huge global network.	huge success, huge amount, huge market, huge expense
success	noun	/səkˈses/	1. sự thành công 2. người hoặc điều thành công	achievement, accomplishment	failure, defeat	succeed (v): thành công; successful (adj): thành công; unsuccessfully (adv): không thành công; successor (n): người kế nhiệm	The marketing campaign was a great success. - She finally tasted success after years of hard work.	achieve success; guarantee success; long-term success; measure of success
honor	noun	/ˈɑː.nər/	1. danh dự 2. sự tôn kính 3. phần thưởng danh dự	respect, recognition	dishonor, disgrace	honor (v): tôn vinh; honorable (adj): đáng kính; dishonor (n,v): làm nhục; honorary (adj): danh dự	It is an honor to meet the company founder. - The employee accepted the honor with gratitude.	in honor of; feel honored to; badge of honor; receive an honor
follow	verb	/ˈfɑː.loʊ/	1. theo sau 2. tuân theo 3. theo dõi	pursue, obey	lead, disregard	follower (n): người theo dõi; following (n,adj): tiếp theo; follow-up (n,adj): tiếp nối	Please follow the safety instructions carefully. - Over 10,000 users follow our page.	follow instructions; follow up; follow a procedure; follow someone on social media
social	adj	/ˈsoʊ.ʃəl/	1. thuộc xã hội 2. mang tính giao tiếp	communal, societal	antisocial, solitary	socialize (v): giao lưu; socially (adv): về mặt xã hội; socializing (n): sự giao tiếp; socialism (n): chủ nghĩa xã hội	The company hosts social events every quarter. - Good social skills are important at work.	social event; social skills; social interaction; social responsibility
social media	noun	/ˌsoʊ.ʃəl ˈmiː.di.ə/	1. mạng xã hội 2. nội dung đăng tải trên mạng xã hội	networking sites, online platforms	traditional media, print media	social (adj): xã hội; media (n): phương tiện truyền thông; social networking (n): mạng xã hội	Customers leave feedback on social media. - The firm launched a social media campaign.	social media platform; social media campaign; social media account; on social media
contribute	verb	/kənˈtrɪb.juːt/	1. đóng góp (tiền, thời gian) 2. góp phần vào điều gì đó	donate, supply, add	withhold, take	contribution (n): sự đóng góp; contributor (n): người đóng góp; contributory (adj): góp phần	Each team member contributes ideas during the meeting.	contribute to; contribute money; actively contribute; contribute significantly
keep	verb	/kiːp/	1. giữ, bảo quản 2. tiếp tục làm 3. lưu giữ hồ sơ	hold, retain, maintain	release, lose	keeper (n): người giữ; keeping (n): sự giữ; kept (adj): được giữ	Please keep the receipt for future reference.	keep track; keep records; keep in mind; keep doing
premier	adjective	/ˈpriː.mi.ər/	1. hàng đầu, quan trọng nhất	leading, top, foremost	inferior, secondary	premiere (n): buổi ra mắt; premier (n): thủ tướng	Our hotel is the premier choice for business travelers.	premier brand; premier destination; premier service; premier event
centre	noun	/ˈsen.tər/	1. trung tâm 2. tòa nhà/khu phức hợp	hub, core, middle	edge, periphery	central (adj): trung tâm; centrally (adv): một cách trung tâm; centralize (v): tập trung	The convention will be held at the city convention centre.	shopping centre; conference centre; city centre; centre of attention
realize	verb	/ˈriː.ə.laɪz/	1. nhận ra 2. thực hiện được 3. bán được để thu tiền	recognize, understand, achieve	ignore, overlook, miss	realization (n): sự nhận ra; realizable (adj): có thể thực hiện; unrealized (adj): chưa thực hiện	Management realized the need for additional staff.	realize that; realize a goal; suddenly realize; fail to realize
multiple	adjective	/ˈmʌl.tɪ.pəl/	having or involving many parts, people, or things	numerous, several, many	single, individual	multiply (v): nhân lên  multiplication (n): phép nhân  multiplicity (n): tính đa dạng	The report contains multiple errors.	multiple options, multiple locations, multiple times
delay	noun	/dɪˈleɪ/	a period of time by which something is late or postponed	postponement, holdup, deferment	promptness, advance, punctuality	delay (v): trì hoãn  delayed (adj): bị chậm  delaying (n): sự trì hoãn	There was a slight delay in shipping.	cause a delay, experience a delay, without delay, flight delay
easy	adjective	/ˈiː.zi/	not difficult to do or understand	simple, effortless, straightforward	difficult, hard, complicated	ease (n): sự dễ dàng  easily (adv): dễ dàng  easier (adj): dễ hơn  easing (v): làm dịu	The software is easy to use.	easy to use, easy access, easy process, easy task
task	noun	/tɑːsk/	a piece of work that needs to be done	duty, assignment, job	rest, leisure, break	task (v): giao nhiệm vụ  tasking (n): sự giao việc  multitask (v): làm nhiều việc  taskmaster (n): người quản lí nghiêm	The manager assigned a new task to the team.	complete a task, assign a task, task list, challenging task
auction	noun	/ˈɔːk.ʃən/	a public sale in which goods are sold to the highest bidder	sale, bidding, sell-off	purchase, buyback, acquisition	auction (v): đấu giá  auctioneer (n): người điều khiển đấu giá  auctioning (n): việc bán đấu giá  auctioned (adj): được bán đấu giá	The company sold its old equipment at auction.	hold an auction, online auction, auction house, auction price
program	noun	/ˈproʊ.ɡræm/	1. chương trình (máy tính, đào tạo) 2. kế hoạch, lịch trình sự kiện 3. chương trình phát sóng	plan, schedule, application	improvisation, disorder	program (v): lập trình programmer (n): lập trình viên programming (n): lập trình programmable (adj): có thể lập trình	The training program starts next Monday.	launch a program; training program; computer program; develop a program
come up	phrasal verb	/kʌm ʌp/	1. nảy sinh, xuất hiện 2. đến gần (sự kiện, thời hạn)	arise, occur	subside, disappear	coming up (adj): sắp tới upcoming (adj): sắp diễn ra	A problem came up during the meeting.	come up during/in; something has come up; issues come up
look forward	phrasal verb	/lʊk ˈfɔːr.wɚd/	1. mong đợi, trông chờ với thái độ háo hức	anticipate, await eagerly	dread, fear	forward-looking (adj): có tầm nhìn tương lai	We look forward to hearing from you.	look forward to + V-ing; look forward to + noun; really look forward; be looking forward
