Vocabulary	Part of Speech	Pronunciation	Meaning	Synonym	Antonym	Word Family	Example	Collocation
account	noun	/əˈkaʊnt/	1. tài khoản 2. bản ghi chép tài chính	record, statement	denial, rebuttal	account (v); accountant (n); accounting (n); accountable (adj)	Please settle your account before the 25th.	bank account, customer account, open an account, account balance
recommend	verb	/ˌrek.əˈmend/	1. khuyên, đề xuất 2. tiến cử	suggest, advise	discourage, oppose	recommendation (n); recommended (adj); recommender (n)	The tour guide recommended a local restaurant.	highly recommend, recommend that, recommend for, recommend doing
standard	noun, adjective	/ˈstæn.dəd/	1. (n) mức chuẩn, tiêu chuẩn 2. (adj) thông thường, tiêu chuẩn	benchmark, norm, criterion	exception, deviation, abnormality	standardize (v): tiêu chuẩn hoá; standardized (adj): được tiêu chuẩn hoá; standardization (n): sự tiêu chuẩn hoá	Our products meet international safety standards.; The company follows a standard procedure for hiring.	meet the standard; industry standard; high standard; set a standard
board member	noun	/bɔːd ˈmem.bə/	Thành viên ban giám đốc / hội đồng quản trị	director, trustee, executive	employee, staffer, subordinate	board (n): ban; membership (n): tư cách thành viên; boardroom (n): phòng họp HĐQT	Each board member received the financial report.; The new board member will start next month.	senior board member; appoint a board member; elect a board member; new board member
scheduling conflict	noun	/ˈʃed.juː.lɪŋ ˈkɒn.flɪkt/	Sự trùng lịch, xung đột về thời gian	time clash, overlap, double-booking	availability, free time, open slot	schedule (n/v): lịch trình; reschedule (v): sắp xếp lại; scheduler (n): người lập lịch	I cannot attend the seminar due to a scheduling conflict.; We need to find a new date to avoid a scheduling conflict.	have a scheduling conflict; avoid a scheduling conflict; resolve a scheduling conflict; scheduling conflict with
board meeting	noun	/bɔːd ˈmiː.tɪŋ/	Cuộc họp hội đồng quản trị	directors' meeting, executive meeting, board session	informal gathering, casual meeting, social event	meet (v): gặp; meeting (n): cuộc họp; boardroom (n): phòng họp hội đồng	The quarterly board meeting starts at 10 a.m.; All directors must attend the board meeting.	attend a board meeting; hold a board meeting; annual board meeting; board meeting agenda
move	verb, noun	/muːv/	1. (v) di chuyển, chuyển địa điểm 2. (v) hành động, tiến triển 3. (n) bước đi, động thái	transfer, relocate, act, step	stay, remain, pause	movement (n): sự di chuyển; movable (adj): có thể di chuyển; mover (n): người chuyển; moving (adj): đang di chuyển	The company plans to move its headquarters next year.; That was a smart move in the negotiation.	move forward; move to; move quickly; strategic move
attend	verb	/əˈtend/	1. tham dự 2. có mặt 3. chăm sóc	join, take part in, be present	at absent, miss	attendance (n): sự có mặt; attendee (n): người tham dự; attendant (n): nhân viên phục vụ; unattended (adj): không được trông nom	All employees must attend the safety meeting.	attend a meeting, attend a conference, attend training, attend an event
collab	noun/verb	/kəˈlæb/	1. (n) sự hợp tác 2. (v) hợp tác tạo sản phẩm	collaboration, cooperation	competition, rivalry	collaborate (v): hợp tác; collaboration (n): sự hợp tác; collaborator (n): cộng tác viên; collaborative (adj): mang tính hợp tác	Our marketing team will collab with the design team on the new campaign.	brand collab, do a collab with, collab project, successful collab
across	preposition/adverb	/əˈkrɒs/	1. băng qua 2. ở bên kia 3. khắp, trải rộng	over, opposite, throughout	alongside, within	cross (v): băng qua; crossing (n): chỗ băng qua; crossover (n): sự giao nhau	The hotel is across the road from the convention center.	across the street, across from, across the country, travel across
pass	verb	/pæs/	1. đi qua 2. vượt qua 3. chuyển, đưa 4. thông qua 5. đậu kỳ thi	go through, hand, approve	fail, stop, reject	passage (n): lối đi; passenger (n): hành khách; passer-by (n): người qua đường; passing (adj): thoáng qua	Please pass the documents to the front desk.	pass an exam, pass a bill, pass through, pass the security gate
decide	verb	/dɪˈsaɪd/	1. quyết định 2. giải quyết	choose, determine	hesitate, waver	decision (n): quyết định decisive (adj): dứt khoát decisively (adv): một cách dứt khoát indecisive (adj): thiếu quyết đoán	The board will decide on the budget tomorrow.	decide on/upon sth, decide to do sth, quickly decide, final decision
require	verb	/rɪˈkwaɪər/	1. yêu cầu 2. cần thiết	need, demand	supply, offer	requirement (n): sự yêu cầu required (adj): bắt buộc requisition (n): giấy yêu cầu	The position requires at least two years of experience.	require that, require sb to do sth, be required for, require approval
perform	verb	/pərˈfɔːrm/	1. thực hiện, thi hành 2. biểu diễn 3. vận hành (máy)	carry out, execute, act	neglect, fail	performance (n): hiệu suất/buổi biểu diễn performer (n): người biểu diễn performing (adj): biểu diễn	The software can perform complex calculations quickly.; The band will perform at the company banquet.	perform a task, perform well, perform duties, perform a test
send	verb	/send/	1. gửi 2. cử đi	dispatch, forward	receive, keep	sender (n): người gửi sending (n): việc gửi resend (v): gửi lại	Please send the invoice by email today.	send an email, send a message, send goods, send for sb
coupon booklet	noun	/ˈkuː.pɒn ˈbʊk.lɪt/	quyển sổ phiếu giảm giá	voucher book, discount booklet	full-price catalog, price list	coupon (n): phiếu giảm giá booklet (n): sổ nhỏ	Travelers can save money with our coupon booklet.	redeem a coupon booklet, offer a coupon booklet, receive a coupon booklet, use a coupon booklet
print	verb	/prɪnt/	1. in ấn 2. xuất bản	publish, produce	erase, delete	printer (n): máy in printing (n): việc in printable (adj): có thể in	The company will print 500 copies of the brochure.	print out, print a document, print in color, print on both sides
approve	verb	/əˈpruːv/	1. chấp thuận, phê duyệt 2. đồng ý	accept, authorize, endorse, sanction	reject, refuse, deny, disapprove	approval (n): sự chấp thuận approving (adj): tán thành disapprove (v): không tán thành disapproval (n): sự không tán thành	The manager approved the budget today.	approve a plan; approve the budget; formally approve; need approval
in spite of	prepositional phrase	/ɪn ˈspaɪt əv/	mặc dù, bất chấp	despite, regardless of	because of, due to	spite (n): sự thù oán spiteful (adj): hằn học	In spite of rain, the tour continued on time.	in spite of delays; in spite of difficulties; in spite of high costs
despite	preposition	/dɪˈspaɪt/	mặc dù, bất chấp	in spite of, regardless of	because of, owing to	despiteful (adj): hằn học spite (n): sự thù oán	Despite heavy traffic, we arrived before noon.	despite the delay; despite high prices; despite the fact that
just as	conjunction	/dʒʌst æz/	1. ngay khi 2. giống như	exactly when, exactly as	different from, whereas	just (adv/adj): chỉ, công bằng justice (n): công lý justly (adv): công bằng	The phone rang just as I left the office.	just as expected; just as planned; just as important
in light of	prepositional phrase	/ɪn ˈlaɪt əv/	xét đến, vì, dựa trên	considering, given, because of	regardless of, despite	light (n): ánh sáng lighten (v): làm sáng tỏ enlightened (adj): được khai sáng	In light of new data, we changed the schedule.	in light of recent events; in light of the results; in light of the situation
according to	preposition	/əˈkɔː.dɪŋ tuː/	1. theo, dựa theo 2. căn cứ vào điều gì đó	per, as stated by	contrary to, ignoring	accord (v/n): đồng ý; accordance (n): sự phù hợp; accordingly (adv): do đó	According to the schedule, the train leaves at 9 a.m.	according to the report; according to plan; according to schedule; according to the contract
arbitrary	adjective	/ˈɑː.bɪ.trə.ri/	1. tuỳ tiện 2. độc đoán	random, capricious	systematic, rational	arbitrariness (n): tính tuỳ tiện; arbitrarily (adv): một cách tuỳ tiện	The staff complained about the arbitrary change in policy.	arbitrary decision; arbitrary rule; arbitrary limit; arbitrary change
provide	verb	/prəˈvaɪd/	1. cung cấp 2. quy định (hợp đồng, luật)	supply, furnish	withhold, deprive	provider (n): nhà cung cấp; provision (n): sự cung cấp; providing (conj): miễn là	The hotel provides free breakfast.	provide services; provide information; provide support; provide access
