Vocabulary	Part of Speech	Pronunciation	Meaning	Synonym	Antonym	Word Family	Example	Collocation
bother	verb	/ˈbɒð.ər/	1. làm phiền 2. bận tâm	disturb, annoy	please, comfort	bothersome (adj): gây khó chịu; bothered (adj): lo lắng; botheration (n): sự phiền toái	Please do not bother the manager during the meeting.	bother to do sth, bother with, sorry to bother you, not bother
travel	verb/noun	/ˈtræv.əl/	1. đi lại, du lịch 2. di chuyển	journey, tour	stay, remain	traveler (n): du khách; traveling (adj): du lịch; travel agency (n): hãng du lịch; travel agent (n): nhân viên đại lý du lịch	She often travels abroad on business.	business travel, travel expenses, travel insurance, travel agency
look for	phrasal verb	/lʊk fɔːr/	tìm kiếm; cố gắng tìm ra điều gì	seek, search for, hunt	forget, ignore, overlook	look (v): nhìn looker (n): người nhìn lookout (n): người canh gác	We are looking for a new supplier this quarter.	look for a job; look for information; look for opportunities; look for solutions
lean against	phrasal verb	/liːn əˈɡenst/	dựa vào; tựa vào để được hỗ trợ	rest on, prop against	detach, stand free	lean (v): nghiêng leaning (n): xu hướng lean (adj): gầy	Please do not lean against the glass door.	lean against a wall; lean against the railing; lean against the door
reduce	verb	/rɪˈdjuːs/	giảm; hạ xuống; thu nhỏ	decrease, cut, lower	increase, raise, enlarge	reduction (n): sự giảm reduced (adj): được giảm reducer (n): bộ giảm tốc	They plan to reduce production costs by 10%.	reduce costs; reduce waste; reduce staff; reduce risk
transport - related greenhouse	noun phrase	/ˈtrænspɔːrt rɪˈleɪtɪd ˈɡriːnhaʊs ɪˈmɪʃənz/	lượng khí nhà kính phát thải từ hoạt động vận tải	vehicle emissions, transportation emissions	zero-emission transport, emission cuts	emission (n): sự phát thải emit (v): phát ra greenhouse (n): nhà kính transporter (n): phương tiện vận tải	Transport-related greenhouse emissions are a major concern for the city.	reduce greenhouse emissions; cut transport emissions; transport-related emissions; greenhouse gas emissions
emiss								
tailor	verb/noun	/ˈteɪ.lər/	1. v: điều chỉnh cho phù hợp; 2. n: thợ may	adjust; adapt; customize	standardize; generalize	tailoring (n): việc điều chỉnh/may; tailored (adj): được điều chỉnh; tailor-made (adj): phù hợp riêng	We tailor our services to each client.	tailor sth to; tailor-made solution; tailored suit
skill	noun	/skɪl/	1. kỹ năng; 2. sự khéo léo	ability; competence	incompetence; inability	skilled (adj): lành nghề; skillful (adj): khéo léo; skillfully (adv): khéo léo; upskill (v): nâng cao kỹ năng	Communication skill is important in sales.	develop skills; acquire skills; technical skill; skill set
design	noun/verb	/dɪˈzaɪn/	1. n: bản thiết kế; 2. v: thiết kế	plan; draft; create	destroy; neglect	designer (n): nhà thiết kế; redesign (v): thiết kế lại; designed (adj): đã thiết kế	The architect will design the new office.	design a product; design phase; design team; user-centered design
custom - made	adj	/ˌkʌs.təm ˈmeɪd/	được làm theo yêu cầu riêng	bespoke; tailored; personalized	ready-made; off-the-shelf	customize (v): tùy chỉnh; customization (n): sự tùy chỉnh; customized (adj): được tùy chỉnh	The CEO ordered a custom-made suit.	custom-made product; custom-made software; custom-made furniture; fully custom-made
style	noun	/staɪl/	1. phong cách; 2. kiểu dáng	manner; fashion; design	disorder; clumsiness	stylist (n): nhà tạo mẫu; stylish (adj): hợp thời; stylistic (adj): thuộc phong cách; stylize (v): cách điệu	The brochure is written in a formal style.	management style; writing style; in style; change style
budget	noun	/ˈbʌdʒ.ɪt/	1. ngân sách 2. kế hoạch chi tiêu	financial plan, spending plan	overspending, extravagance	budget (v): lập ngân sách; budgeting (n): việc lập ngân sách; budgetary (adj): thuộc ngân sách; overbudget (adj): vượt ngân sách	The manager reviewed the marketing budget.	annual budget, stay within budget, budget cuts, prepare a budget
perfect	adjective	/ˈpɜː.fekt/	1. hoàn hảo 2. chính xác	flawless, ideal	imperfect, faulty	perfect (v): hoàn thiện; perfection (n): sự hoàn hảo; perfectly (adv): một cách hoàn hảo; perfectionist (n): người cầu toàn	The venue is perfect for the conference.	perfect solution, perfect timing, look perfect, be perfect for
project	noun	/ˈprɒdʒ.ekt/	1. dự án 2. kế hoạch đặc biệt	assignment, undertaking	disorder, chaos	project (v): dự kiến; projector (n): máy chiếu; projection (n): sự dự kiến; projected (adj): được dự tính	The team completed the construction project early.	project deadline, project manager, launch a project, project budget
prove	verb	/pruːv/	1. chứng minh 2. tỏ ra	demonstrate, verify	disprove, refute	proof (n): bằng chứng; proven (adj): đã được chứng minh; proving (n): sự chứng minh	The data prove that our strategy is effective.	prove successful, prove useful, prove that, prove impossible
help	verb	/help/	1. giúp đỡ 2. cải thiện	assist, aid	hinder, obstruct	help (n): sự giúp đỡ; helper (n): người giúp; helpful (adj): hữu ích; helpless (adj): bất lực	The clerk helped the tourist find a taxi.	help with, help someone do something, offer help, need help
complete	verb / adjective	/kəmˈpliːt/	1. hoàn thành, kết thúc (v) 2. toàn bộ, đầy đủ (adj)	finish, conclude	start, begin, incomplete	completion (n): sự hoàn thành; completely (adv): hoàn toàn	Please complete the form by Friday.	complete a form, complete a survey, complete the task, complete the project
member	noun	/ˈmem.bər/	1. thành viên của nhóm, tổ chức, công ty	participant, associate	nonmember, outsider	membership (n): tư cách thành viên	Each team member must attend the meeting.	board member, team member, staff member, club member
receive	verb	/rɪˈsiːv/	1. nhận, tiếp nhận	get, obtain	send, give	receipt (n): biên lai; receiver (n): người nhận; reception (n): sự tiếp nhận	We received your payment yesterday.	receive an email, receive a payment, receive feedback, receive a shipment
point	noun / verb	/pɔɪnt/	1. ý chính, luận điểm (n) 2. chỉ ra, hướng về (v)	idea, indicate	irrelevance, ignore	pointed (adj): nhọn; pointing (n): sự chỉ ra	He made a good point during the discussion.	make a point, key point, main point, point out
parcitipate	verb	/pɑːrˈtɪs.ɪ.peɪt/	1. tham gia, góp phần	join, take part	abstain, avoid	participation (n): sự tham gia; participant (n): người tham gia; participatory (adj): mang tính tham gia	Employees are encouraged to participate in the survey.	participate in a meeting, participate actively, encourage participation, participate fully
costume	noun	/ˈkɒs.tjuːm/	1. trang phục (cho vở kịch, buổi biểu diễn) 2. quần áo truyền thống/đặc trưng	outfit, attire	casual wear, everyday clothes	costumer (n): người thiết kế/cho thuê trang phục costumed (adj): mặc trang phục costuming (n): việc chuẩn bị trang phục	The actors received their costumes before the show.	traditional costume, wear a costume, costume designer, rent a costume
enough	determiner/adverb	/ɪˈnʌf/	1. đủ, đủ số lượng/khối lượng	sufficient, adequate	insufficient, inadequate	enough (adv): đủ enoughness (n): sự đầy đủ	We have enough chairs for everyone.	enough time, enough money, have enough, good enough
rehearsal	noun	/rɪˈhɜː.səl/	1. buổi diễn tập 2. sự lặp lại để chuẩn bị	practice, run-through	performance, presentation	rehearse (v): diễn tập rehearsed (adj): đã luyện rehearsal (n): sự diễn tập	The cast has a rehearsal at 10 a.m.	dress rehearsal, hold a rehearsal, rehearsal schedule, final rehearsal
