Vocabulary	Part of Speech	Pronunciation	Meaning	Synonym	Antonym	Word Family	Example	Collocation
available	adj	/əˈveɪ.lə.bəl/	1. có sẵn 2. rảnh để gặp	obtainable, accessible, in stock	unavailable, occupied, busy	availability (n): sự có sẵn unavailable (adj): không có sẵn avail (v): tận dụng	The product will be available next Monday.	readily available, make available, available for, available to
retail	noun	/ˈriː.teɪl/	1. việc bán lẻ 2. giá bán lẻ 3. ngành bán lẻ	merchandising, sales	wholesale, bulk	retailer (n): nhà bán lẻ retailing (n): ngành bán lẻ retail (v): bán lẻ retail-price (adj): giá bán lẻ	She works in retail on the weekends.	retail market, retail price, retail store, retail sales
dozen	noun	/ˈdʌz.ən/	một tá (12 cái)	twelve	—	dozens (n): nhiều, hàng tá	He bought a dozen eggs at the store.	a dozen of, half a dozen, dozens of
tasty	adj	/ˈteɪ.sti/	ngon miệng	delicious,flavorful	bland,tasteless	taste (n/v): nếm tastily (adv): ngon tastiness (n): sự ngon tasteless (adj): nhạt	That restaurant serves tasty noodles.	tasty meal, tasty snack, tasty dish, tasty food
free	adj	/friː/	1. miễn phí 2. rảnh rỗi	complimentary,without charge	paid,occupied	freedom (n): sự tự do freely (adv): tự do freebie (n): hàng tặng free (v): giải phóng	The hotel provides free breakfast.	free sample, free of charge, feel free, duty-free
open	adj	/ˈəʊ.pən/	1. mở cửa 2. sẵn có 3. chưa quyết định	unlocked,available	closed,shut	open (v): mở openness (n): sự cởi mở openly (adv): công khai opener (n): dụng cụ mở	The branch is open from 9 a.m. to 6 p.m.	open position, open market, open door, open account
wide	adj	/waɪd/	1. rộng 2. đa dạng	broad,extensive	narrow,limited	widen (v): mở rộng width (n): bề rộng widely (adv): rộng rãi widening (n): sự mở rộng	Our agency offers a wide variety of tours.	wide range, wide variety, wide screen, wide margin
select	verb	/sɪˈlekt/	1. chọn, lựa chọn	choose, pick	reject, discard	selection (n): sự lựa chọn selective (adj): có chọn lọc selector (n): bộ chọn	- Please select your preferred language on the screen. - The committee will select three finalists.	select candidate - select option - carefully select - select item
paint	verb	/peɪnt/	1. sơn, quét màu lên bề mặt 2. vẽ tranh	coat, color, decorate	strip, remove	painter (n): thợ sơn painting (n): bức tranh repaint (v): sơn lại paintwork (n): lớp sơn	They will paint the lobby tonight.	paint a wall, paint the ceiling, fresh coat of paint, apply paint
tile	noun	/taɪl/	1. gạch lát sàn hoặc tường 2. ngói lợp	ceramic square, slab	carpet, wood flooring	tiling (n): việc lát gạch retile (v): lát lại tiled (adj): được lát gạch	The contractor delivered the floor tiles this morning.	ceramic tile, floor tile, install tiles, tile roof
furniture	noun	/ˈfɜː.nɪ.tʃər/	1. đồ đạc (bàn ghế, tủ...) trong phòng hoặc tòa nhà	furnishings, fittings	emptiness, bare room	furnish (v): trang bị furnished (adj): có sẵn đồ đạc furnishing (n): đồ đạc refurnish (v): trang bị lại	The new office furniture arrived yesterday.	office furniture, piece of furniture, furniture store, arrange furniture
curtain	noun	/ˈkɜː.tən/	1. rèm cửa 2. màn sân khấu	drape, blind	exposure, openness	curtained (adj): có rèm curtaining (n): vải rèm	Please close the curtains before the meeting starts.	draw the curtains, curtain rod, heavy curtains, open/close the curtains
responsibility	noun	/rɪˌspɒn.səˈbɪl.ə.ti/	1. trách nhiệm đối với việc gì; 2. nhiệm vụ, công việc phải làm; 3. sự chịu trách nhiệm pháp lý	duty, obligation, accountability	irresponsibility, negligence, exemption	responsible (adj): có trách nhiệm; responsibly (adv): một cách có trách nhiệm; irresponsible (adj): vô trách nhiệm	You have responsibility for the sales report.; The supervisor took full responsibility for the delay.	take/assume responsibility; have responsibility for; bear responsibility; share responsibility
ensure	verb	/ɪnˈʃʊər/	1. bảo đảm, chắc chắn; 2. giữ gìn an toàn; 3. bảo vệ quyền lợi	guarantee, make sure, secure	endanger, jeopardize, neglect	ensured (adj): được bảo đảm; ensuring (adj): đang bảo đảm; assurance (n): sự cam đoan	Please ensure the doors are locked.; The checklist ensures consistent quality.	ensure that; ensure safety; ensure quality; procedures to ensure
update	verb	/ʌpˈdeɪt/	1. cập nhật thông tin; 2. làm mới, hiện đại hoá; 3. thông báo mới nhất	upgrade, refresh, modernize	downgrade, ignore, outdate	update (n): bản cập nhật; updated (adj): được cập nhật; updating (n): sự cập nhật	We will update the software tonight.; The manager updated us on the schedule.	update the file; receive an update; latest update; regular updates
wise	adj	/waɪz/	1. khôn ngoan, sáng suốt; 2. giàu kinh nghiệm	prudent, sensible, sagacious	foolish, reckless, imprudent	wisely (adv): một cách khôn ngoan; wisdom (n): sự khôn ngoan; unwise (adj): không khôn ngoan	It is wise to save part of your income.; She made a wise decision.	wise decision; wise choice; a wise investment; prove wise
dress code	noun	/ˈdres ˌkoʊd/	1. quy định trang phục tại nơi làm việc hoặc sự kiện; 2. chuẩn mực ăn mặc yêu cầu	clothing rule, attire guideline	casual wear, no restrictions	dress (v): mặc; dressed (adj): ăn mặc; dressing (n): cách ăn mặc	The company has a strict dress code.; Employees must follow the dress code at all times.	strict dress code; formal dress code; business dress code; comply with the dress code
expect	verb	/ɪkˈspekt/	1. mong đợi, trông chờ 2. dự kiến, cho rằng điều gì sẽ xảy ra	anticipate, await	doubt, question	expectation (n): sự mong đợi; expected (adj): được mong đợi; unexpected (adj): không ngờ; expectancy (n): kỳ vọng	- We expect delivery by Friday. - The manager expects the team to meet the deadline.	expect to do sth - expect sth from sb - be expected to - as expected
employee	noun	/ɪmˈplɔɪ.iː/	1. nhân viên, người lao động	staff member, worker	employer, manager	employ (v): tuyển dụng; employment (n): việc làm; employer (n): nhà tuyển dụng; unemployment (n): thất nghiệp	- The company has 300 employees. - Each employee must wear an ID badge.	full-time employee - part-time employee - hire/lay off employees - employee benefits
enthusiasm	noun	/ɪnˈθuː.zi.æzəm/	1. sự nhiệt tình, hăng hái 2. điều yêu thích đặc biệt	eagerness, passion	apathy, indifference	enthusiastic (adj): nhiệt tình; enthusiastically (adv): một cách nhiệt tình; enthusiast (n): người say mê; unenthusiastic (adj): không nhiệt tình	- Her enthusiasm impressed the interviewers. - The staff showed great enthusiasm for the new project.	show/display enthusiasm - enthusiasm for - regain/lose enthusiasm - with enthusiasm
wheel alignment	noun	/ˈwiːl əˌlaɪn.mənt/	1. sự căn chỉnh bánh xe để chúng song song và đúng góc	wheel adjustment, tire alignment	wheel misalignment, imbalance	align (v): căn chỉnh; aligner (n): thiết bị căn chỉnh; aligned (adj): đã được căn chỉnh; misalignment (n): sự lệch	- The rental car needs a wheel alignment. - Regular wheel alignment extends tire life.	check wheel alignment - perform wheel alignment - wheel alignment service - proper wheel alignment
brake system	noun	/breɪk ˈsɪstəm/	1. hệ thống phanh của xe cộ	braking system, brakes	accelerator system, propulsion system	brake (n/v): phanh; braking (n): sự phanh; brakeman (n): người điều khiển phanh; brakeable (adj): có thể phanh	- The mechanic inspected the brake system. - A faulty brake system can cause accidents.	inspect the brake system - brake system failure - upgrade the brake system - hydraulic brake system
inspect	verb	/ɪnˈspekt/	1. kiểm tra; 2. thanh tra	examine, check	neglect, overlook	inspection (n): sự kiểm tra; inspector (n): thanh tra; inspectable (adj): có thể kiểm tra	The technician will inspect the machine this afternoon.	inspect equipment; inspect goods; inspect the site
regist	verb	/ˈredʒ.ɪ.stər/	1. đăng ký 2. ghi nhận	enroll, record	deregister, delete	registration (n): sự đăng ký; register (n): sổ đăng ký; registrar (n): người quản lý đăng ký; registered (adj): đã đăng ký	You must register for the conference by Friday.	register for a course; register online; register a complaint; register with an agency
growth	noun	/ɡroʊθ/	1. sự tăng trưởng 2. sự phát triển	increase, expansion	decline, decrease	grow (v): phát triển; growing (adj): đang phát triển; grown (adj): trưởng thành	The report shows steady growth in sales.	economic growth; sales growth; growth rate; growth strategy
entertain	verb	/ˌen.təˈteɪn/	1. chiêu đãi 2. giải trí	amuse, host	bore, neglect	entertainment (n): sự giải trí; entertainer (n): người giải trí; entertaining (adj): thú vị	The hotel often entertains corporate guests.	entertain clients; entertain guests; entertain at a venue; entertain an idea
industry	noun	/ˈɪn.də.stri/	1. ngành công nghiệp 2. lĩnh vực kinh doanh	sector, business	idleness, inactivity	industrial (adj): thuộc công nghiệp; industrialize (v): công nghiệp hóa; industrialization (n): sự công nghiệp hóa	The tourism industry has recovered quickly.	manufacturing industry; service industry; industry leader; industry standard
separate	verb, adjective	/ˈsep.ər.eɪt/ (v), /ˈsep.ər.ət/ (adj)	1. (v) tách rời, chia ra 2. (adj) riêng biệt, tách biệt	divide, split	join, combine	separation (n): sự tách biệt separately (adv): riêng rẽ separable (adj): có thể tách rời separator (n): thiết bị tách	The manager separated the tasks into three lists.	- separate A from B - keep files separate - separate account - separate section
limit	verb, noun	/ˈlɪm.ɪt/	1. (v) giới hạn 2. (n) mức giới hạn, phạm vi	restrict, confine	enlarge, expand	limitation (n): sự hạn chế limited (adj): có giới hạn unlimited (adj): không giới hạn limiter (n): thiết bị hạn chế	Please limit your report to two pages.	- limit to sth - set a limit - within the limit - speed limit
willing	adjective	/ˈwɪl.ɪŋ/	1. sẵn sàng, sẵn lòng	ready, prepared	unwilling, reluctant	willingness (n): sự sẵn lòng willingly (adv): một cách sẵn sàng will (n/v): ý chí	She is willing to work overtime tonight.	- willing to do sth - quite willing - perfectly willing - willing buyer
assort	verb	/əˈsɔːrt/	1. phân loại, sắp xếp theo nhóm	categorize, classify	mix, jumble	assortment (n): sự phân loại assorted (adj): đa dạng assorter (n): máy phân loại	Workers assort the merchandise by size.	- assort products - assort goods - assort by size - assort items
deliver	verb	/dɪˈlɪv.ər/	1. giao hàng 2. trình bày (bài phát biểu) 3. thực hiện (lời hứa)	ship, transport, present, fulfill	collect, withhold, fail	delivery (n); deliverable (n/adj); deliverer (n); delivered (adj)	The courier will deliver the documents before noon.	deliver a package, deliver a speech, deliver results, deliver on a promise
authority	noun	/ɔːˈθɒr.ə.ti/	1. quyền lực, quyền hạn 2. cơ quan có thẩm quyền 3. người có uy tín	power, control, agency	subordination, weakness	authorize (v): cho phép; authorized (adj): được ủy quyền; authorization (n): sự cho phép; authoritative (adj): có thẩm quyền	Only the project manager has the authority to approve expenses.	exercise authority, local authorities, authority to do sth, in authority
drive	verb	/draɪv/	1. lái xe 2. thúc đẩy, làm tăng 3. điều khiển máy	motivate, operate, propel	halt, deter	driver (n): tài xế; driving (n/adj): việc lái xe; driven (adj): có động lực	He drives to the office and drives sales during meetings.	drive a car, drive to work, drive growth, drive sales
prohibit	verb	/prəˈhɪb.ɪt/	1. cấm, ngăn cản	ban, forbid	allow, permit	prohibition (n): sự cấm; prohibitive (adj): quá cao; prohibited (adj): bị cấm	The law prohibits smoking in the office.	prohibit sb from doing sth, strictly prohibit, prohibit by law, prohibit the use of
bother	verb	/ˈbɒð.ər/	1. làm phiền 2. bận tâm	disturb, annoy	please, comfort	bothersome (adj): gây khó chịu; bothered (adj): lo lắng; botheration (n): sự phiền toái	Please do not bother the manager during the meeting.	bother to do sth, bother with, sorry to bother you, not bother
travel	verb/noun	/ˈtræv.əl/	1. đi lại, du lịch 2. di chuyển	journey, tour	stay, remain	traveler (n): du khách; traveling (adj): du lịch; travel agency (n): hãng du lịch; travel agent (n): nhân viên đại lý du lịch	She often travels abroad on business.	business travel, travel expenses, travel insurance, travel agency
look for	phrasal verb	/lʊk fɔːr/	tìm kiếm; cố gắng tìm ra điều gì	seek, search for, hunt	forget, ignore, overlook	look (v): nhìn looker (n): người nhìn lookout (n): người canh gác	We are looking for a new supplier this quarter.	look for a job; look for information; look for opportunities; look for solutions
lean against	phrasal verb	/liːn əˈɡenst/	dựa vào; tựa vào để được hỗ trợ	rest on, prop against	detach, stand free	lean (v): nghiêng leaning (n): xu hướng lean (adj): gầy	Please do not lean against the glass door.	lean against a wall; lean against the railing; lean against the door
reduce	verb	/rɪˈdjuːs/	giảm; hạ xuống; thu nhỏ	decrease, cut, lower	increase, raise, enlarge	reduction (n): sự giảm reduced (adj): được giảm reducer (n): bộ giảm tốc	They plan to reduce production costs by 10%.	reduce costs; reduce waste; reduce staff; reduce risk
transport - related greenhouse	noun phrase	/ˈtrænspɔːrt rɪˈleɪtɪd ˈɡriːnhaʊs ɪˈmɪʃənz/	lượng khí nhà kính phát thải từ hoạt động vận tải	vehicle emissions, transportation emissions	zero-emission transport, emission cuts	emission (n): sự phát thải emit (v): phát ra greenhouse (n): nhà kính transporter (n): phương tiện vận tải	Transport-related greenhouse emissions are a major concern for the city.	reduce greenhouse emissions; cut transport emissions; transport-related emissions; greenhouse gas emissions
emiss								
tailor	verb/noun	/ˈteɪ.lər/	1. v: điều chỉnh cho phù hợp; 2. n: thợ may	adjust; adapt; customize	standardize; generalize	tailoring (n): việc điều chỉnh/may; tailored (adj): được điều chỉnh; tailor-made (adj): phù hợp riêng	We tailor our services to each client.	tailor sth to; tailor-made solution; tailored suit
skill	noun	/skɪl/	1. kỹ năng; 2. sự khéo léo	ability; competence	incompetence; inability	skilled (adj): lành nghề; skillful (adj): khéo léo; skillfully (adv): khéo léo; upskill (v): nâng cao kỹ năng	Communication skill is important in sales.	develop skills; acquire skills; technical skill; skill set
design	noun/verb	/dɪˈzaɪn/	1. n: bản thiết kế; 2. v: thiết kế	plan; draft; create	destroy; neglect	designer (n): nhà thiết kế; redesign (v): thiết kế lại; designed (adj): đã thiết kế	The architect will design the new office.	design a product; design phase; design team; user-centered design
custom - made	adj	/ˌkʌs.təm ˈmeɪd/	được làm theo yêu cầu riêng	bespoke; tailored; personalized	ready-made; off-the-shelf	customize (v): tùy chỉnh; customization (n): sự tùy chỉnh; customized (adj): được tùy chỉnh	The CEO ordered a custom-made suit.	custom-made product; custom-made software; custom-made furniture; fully custom-made
style	noun	/staɪl/	1. phong cách; 2. kiểu dáng	manner; fashion; design	disorder; clumsiness	stylist (n): nhà tạo mẫu; stylish (adj): hợp thời; stylistic (adj): thuộc phong cách; stylize (v): cách điệu	The brochure is written in a formal style.	management style; writing style; in style; change style
budget	noun	/ˈbʌdʒ.ɪt/	1. ngân sách 2. kế hoạch chi tiêu	financial plan, spending plan	overspending, extravagance	budget (v): lập ngân sách; budgeting (n): việc lập ngân sách; budgetary (adj): thuộc ngân sách; overbudget (adj): vượt ngân sách	The manager reviewed the marketing budget.	annual budget, stay within budget, budget cuts, prepare a budget
perfect	adjective	/ˈpɜː.fekt/	1. hoàn hảo 2. chính xác	flawless, ideal	imperfect, faulty	perfect (v): hoàn thiện; perfection (n): sự hoàn hảo; perfectly (adv): một cách hoàn hảo; perfectionist (n): người cầu toàn	The venue is perfect for the conference.	perfect solution, perfect timing, look perfect, be perfect for
project	noun	/ˈprɒdʒ.ekt/	1. dự án 2. kế hoạch đặc biệt	assignment, undertaking	disorder, chaos	project (v): dự kiến; projector (n): máy chiếu; projection (n): sự dự kiến; projected (adj): được dự tính	The team completed the construction project early.	project deadline, project manager, launch a project, project budget
prove	verb	/pruːv/	1. chứng minh 2. tỏ ra	demonstrate, verify	disprove, refute	proof (n): bằng chứng; proven (adj): đã được chứng minh; proving (n): sự chứng minh	The data prove that our strategy is effective.	prove successful, prove useful, prove that, prove impossible
help	verb	/help/	1. giúp đỡ 2. cải thiện	assist, aid	hinder, obstruct	help (n): sự giúp đỡ; helper (n): người giúp; helpful (adj): hữu ích; helpless (adj): bất lực	The clerk helped the tourist find a taxi.	help with, help someone do something, offer help, need help
complete	verb / adjective	/kəmˈpliːt/	1. hoàn thành, kết thúc (v) 2. toàn bộ, đầy đủ (adj)	finish, conclude	start, begin, incomplete	completion (n): sự hoàn thành; completely (adv): hoàn toàn	Please complete the form by Friday.	complete a form, complete a survey, complete the task, complete the project
member	noun	/ˈmem.bər/	1. thành viên của nhóm, tổ chức, công ty	participant, associate	nonmember, outsider	membership (n): tư cách thành viên	Each team member must attend the meeting.	board member, team member, staff member, club member
receive	verb	/rɪˈsiːv/	1. nhận, tiếp nhận	get, obtain	send, give	receipt (n): biên lai; receiver (n): người nhận; reception (n): sự tiếp nhận	We received your payment yesterday.	receive an email, receive a payment, receive feedback, receive a shipment
point	noun / verb	/pɔɪnt/	1. ý chính, luận điểm (n) 2. chỉ ra, hướng về (v)	idea, indicate	irrelevance, ignore	pointed (adj): nhọn; pointing (n): sự chỉ ra	He made a good point during the discussion.	make a point, key point, main point, point out
parcitipate	verb	/pɑːrˈtɪs.ɪ.peɪt/	1. tham gia, góp phần	join, take part	abstain, avoid	participation (n): sự tham gia; participant (n): người tham gia; participatory (adj): mang tính tham gia	Employees are encouraged to participate in the survey.	participate in a meeting, participate actively, encourage participation, participate fully
costume	noun	/ˈkɒs.tjuːm/	1. trang phục (cho vở kịch, buổi biểu diễn) 2. quần áo truyền thống/đặc trưng	outfit, attire	casual wear, everyday clothes	costumer (n): người thiết kế/cho thuê trang phục costumed (adj): mặc trang phục costuming (n): việc chuẩn bị trang phục	The actors received their costumes before the show.	traditional costume, wear a costume, costume designer, rent a costume
enough	determiner/adverb	/ɪˈnʌf/	1. đủ, đủ số lượng/khối lượng	sufficient, adequate	insufficient, inadequate	enough (adv): đủ enoughness (n): sự đầy đủ	We have enough chairs for everyone.	enough time, enough money, have enough, good enough
rehearsal	noun	/rɪˈhɜː.səl/	1. buổi diễn tập 2. sự lặp lại để chuẩn bị	practice, run-through	performance, presentation	rehearse (v): diễn tập rehearsed (adj): đã luyện rehearsal (n): sự diễn tập	The cast has a rehearsal at 10 a.m.	dress rehearsal, hold a rehearsal, rehearsal schedule, final rehearsal
several	determiner/pronoun	/ˈsev.ər.əl/	1. vài, một số	some, a few	none, numerous	severally (adv): riêng rẽ severalty (n): quyền sở hữu riêng	Several employees arrived early.	several times, several years, several options, several reasons
reown	noun	/rɪˈnaʊn/	1. danh tiếng, tiếng tăm	fame, reputation	obscurity, anonymity	renowned (adj): nổi tiếng renownless (adj): không tên tuổi	The hotel has international renown for its service.	gain renown, international renown, of great renown, world renown
orchestras	noun	/ˈɔːr.kə.strəz/	1. dàn nhạc giao hưởng 2. nhóm nhạc nhiều nhạc cụ	symphony groups, bands	soloist, individual performer	orchestra (n): dàn nhạc orchestral (adj): thuộc dàn nhạc orchestrate (v): dàn dựng orchestration (n): sự phối khí/sắp đặt	Several orchestras will play at the cultural festival.	symphony orchestra, philharmonic orchestra, chamber orchestra, lead an orchestra
excel	verb	/ɪkˈsel/	1. xuất sắc 2. trội hơn người khác	surpass, shine	fail, underperform	excellence (n): sự xuất sắc excellent (adj): xuất sắc excellently (adv): một cách xuất sắc	Our sales team continues to excel in customer service.	excel at, excel in, continue to excel, excel yourself
role	noun	/roʊl/	1. vai trò, chức vụ 2. phần diễn (trong phim, kịch)	position, function, duty	irrelevance, insignificance	role-play (v): đóng vai role-playing (n): nhập vai	His role is to manage the budget for the project.	key role, play a role, role in, managerial role
organize	verb	/ˈɔːr.ɡə.naɪz/	1. tổ chức, sắp xếp 2. lên kế hoạch và điều phối	arrange, coordinate, set up	disrupt, disorder	organization (n): tổ chức organizer (n): người tổ chức organized (adj): có trật tự reorganize (v): tái tổ chức organizational (adj): thuộc tổ chức	They will organize a staff meeting tomorrow morning.	organize a meeting, organize an event, organize files, organize a trip
northbound	adj/adv	/ˈnɔːrθ.baʊnd/	1. di chuyển về phía bắc	heading north, to the north	southbound	north (n/adj/adv): phía bắc northern (adj): miền bắc northward(s) (adv): về hướng bắc	The northbound train departs at 6 a.m.	northbound traffic, northbound lane, northbound train, northbound route
lane	noun	/leɪn/	1. làn đường (trong giao thông) 2. đường nhỏ, ngõ hẻm	track, path	highway, main road	lane (n): làn đường two-lane (adj): hai làn multilane (adj): nhiều làn	The right lane is closed for repairs. - Use the left lane to turn.	fast lane, bicycle lane, right lane, shipping lane
temporarily	adverb	/ˈtem.pə.rer.ə.li/	1. tạm thời, trong thời gian ngắn	provisionally, briefly	permanently	temporary (adj): tạm thời temporariness (n): tính tạm thời	Our office is temporarily closed for maintenance. - He is working temporarily in the Paris branch.	temporarily close, be temporarily unavailable, suspend temporarily, work temporarily
competitive	adj	/kəmˈpet.ə.tɪv/	1. có tính cạnh tranh 2. (giá) có khả năng cạnh tranh	aggressive, rivalrous	uncompetitive, cooperative	compete (v): cạnh tranh competition (n): sự cạnh tranh competitor (n): đối thủ competitiveness (n): tính cạnh tranh competitively (adv): một cách cạnh tranh	We offer competitive rates for bulk orders. - The software market is highly competitive.	competitive price, highly competitive, competitive advantage, remain competitive
recently	adverb	/ˈriː.sənt.li/	1. gần đây	lately, just	formerly, previously	recent (adj): gần đây recency (n): sự mới đây	The company recently launched a new product. - She was recently promoted to manager.	until recently, have recently + V3, more recently, recently announced
collectively	adverb	/kəˈlek.tɪv.li/	1. chung, tập thể, tổng cộng	jointly, together	individually, separately	collect (v): thu thập collective (adj/n): tập thể collection (n): bộ sưu tập collectivism (n): chủ nghĩa tập thể	Shareholders collectively own 60% of the firm. - The team collectively decided to cancel the trip.	act collectively, decide collectively, collectively known as, collectively responsible
handle	verb	/ˈhæn.dəl/	1. xử lý, giải quyết (công việc, vấn đề) 2. cầm, nắm	manage, deal with	neglect, mishandle	handle (n): tay cầm; handling (n): việc xử lý; handler (n): người điều khiển	Our staff can handle customer complaints quickly.	handle a complaint, handle equipment, handle pressure, handle data
range	noun	/reɪndʒ/	1. phạm vi, dải 2. chủng loại hàng hoá	span, scope	limitation, restriction	range (v): dao động; ranged (adj): được sắp xếp; ranger (n): kiểm lâm	The store offers a wide range of office supplies.	a wide range, range of products, price range, within the range
issue	noun	/ˈɪʃ.uː/	1. vấn đề, mối quan ngại 2. số báo, ấn phẩm	problem, matter (nghĩa 1) edition (nghĩa 2)	solution (nghĩa 1)	issue (v): phát hành; issuer (n): nhà phát hành; issuance (n): sự phát hành	The technician fixed the issue in ten minutes.	address an issue, raise an issue, issue of concern, latest issue
miss	verb	/mɪs/	1. bỏ lỡ, không bắt kịp 2. nhớ	lose, skip (nghĩa 1) long for (nghĩa 2)	catch, attend (nghĩa 1) forget (nghĩa 2)	miss (n): cô; missing (adj): mất tích; misser (n): người bỏ lỡ	He missed the last train to the airport.	miss a flight, miss a deadline, miss an opportunity, miss someone
lost	adjective	/lɒst/	1. bị mất, thất lạc 2. lạc đường 3. thua	missing, misplaced (nghĩa 1) confused (nghĩa 2) defeated (nghĩa 3)	found, located, won	lose (v): mất; loss (n): sự mất; loser (n): người thua; losing (adj): thua	The tourist was lost in the subway station.	lost luggage, get lost, lost property, feel lost
meet	verb	/miːt/	1. gặp mặt 2. đáp ứng (yêu cầu/tiêu chuẩn)	encounter, satisfy	avoid, miss, fail	meeting (n): cuộc họp; met (v-ed): đã gặp; meetup (n): buổi gặp mặt	Our team will meet the supplier tomorrow.	meet a deadline, meet requirements, meet with clients, meet expectations
meeting note	noun	/ˈmiː.tɪŋ noʊt/	bản ghi chú cuộc họp	minutes, memo	omission, silence	meet (v): gặp; meeting (n): cuộc họp; note (n): ghi chú; notetaker (n): người ghi chép	Please review the meeting notes before Friday.	take meeting notes, distribute meeting notes, review meeting notes, detailed meeting notes
accident	noun	/ˈæk.sɪ.dənt/	1. tai nạn 2. sự cố bất ngờ	mishap, crash	intention, plan	accidental (adj): tình cờ; accidentally (adv): vô tình	Delivery of the parts was delayed by a traffic accident.	traffic accident, workplace accident, cause an accident, by accident
delete	verb	/dɪˈliːt/	xóa bỏ (dữ liệu, tập tin)	remove, erase	save, restore	deletion (n): sự xoá; deletable (adj): có thể xoá	Please delete the outdated files from the server.	delete a file, delete an email, accidentally delete, delete permanently
recreate	verb	/ˌriː.krɪˈeɪt/	tái tạo, tạo lại	reproduce, rebuild	destroy, ruin	creation (n): sự tạo ra; recreation (n): sự giải trí; creative (adj): sáng tạo	The engineer tried to recreate the problem in the lab.	recreate a scene, recreate the experience, recreate the logo, easily recreate
memory	noun	/ˈmem.ər.i/	1. trí nhớ 2. ký ức 3. bộ nhớ máy tính	recall, remembrance	forgetfulness, amnesia	memorize (v): ghi nhớ memorable (adj): đáng nhớ memorandum (n): bản ghi nhớ	She has a good memory for names.	long-term memory, computer memory, in memory of, memory capacity
current	adjective	/ˈkɜːr.ənt/	hiện tại, hiện nay	present, contemporary	old, past	currently (adv): hiện tại, hiện nay; currency (n): tiền tệ	The current manager is very experienced.	current events, current situation, current address
